Straßenbäume nach Baumgattungen und Altersgruppen 2022;;;;;;;
Baumgattung;Insgesamt;Straßenbäume (1) nach Altersgruppen (2);;;;;
;;bis 19;20–49;50–99;100–199;ab 200;nicht erfasst
Wien;98658;27129;39875;21597;3595;52;6410
Ahorn;25676;5651;10556;5873;481;–;3115
Linde;15454;3345;5634;5551;647;10;267
Rosskastanie;9631;862;3267;3484;1860;27;131
Esche;8764;2687;4206;1260;111;–;500
Zürgelbaum;4331;2551;1288;316;9;–;167
Platane;4129;821;1585;1373;259;5;86
Zierbirne;3517;2161;1245;11;2;–;98
Hainbuche;3054;1492;1365;114;–;–;83
Zierkirsche;2848;779;1661;174;1;–;233
Robinie;2468;113;1206;621;23;–;505
Gleditsie;2459;977;1083;357;3;–;39
Schnurbaum;1909;363;917;587;29;–;13
Ulme;1894;1341;296;42;5;–;210
Pappel;1723;93;749;430;71;2;378
Baumhasel;1647;582;973;82;4;–;6
Ginkgo;973;583;348;34;–;–;8
Nussbaum;968;110;524;236;9;–;89
Kiefer;802;8;500;270;18;–;6
Eiche;786;164;301;241;34;7;39
Blasenbaum;752;355;324;49;3;–;21
Birke;714;65;470;167;1;–;11
Götterbaum;439;14;182;119;15;–;109
Weißdorn;269;38;182;26;–;–;23
Zierapfel;269;95;162;5;–;–;7
Trompetenbaum;198;34;144;18;1;–;1
Fichte;188;14;137;32;1;–;4
Mehlbeere;123;33;86;–;–;–;4
Geweihbaum;105;32;69;4;–;–;–
Magnolie;87;12;38;–;–;–;37
Holunderbaum;80;3;46;15;–;–;16
Buche;72;7;29;9;2;1;24
Blauglockenbaum;67;17;27;20;1;–;2
Eibe;59;4;26;18;4;–;7
Maulbeerbaum;54;18;25;11;–;–;–
Tulpenbaum;52;18;27;5;–;–;2
Felsenbirne;51;43;–;–;–;–;8
Judasbaum;46;20;23;–;–;–;3
Hibiskus;45;38;4;–;–;–;3
Weide;43;3;18;10;–;–;12
Hopfenbuche;33;5;28;–;–;–;–
Tamariske;22;20;2;–;–;–;–
Sonstige;1857;1558;122;33;1;–;143
Quelle: Stadt Wien Wiener Stadtgärten,;;;;;;;
"(1) Von der Stadt Wien Wiener Stadtgärten auf öffentlichen Gemeindestraßen verwaltete und betreute Bäume lt, Baumkataster, 
(2) Das Alter der Bäume wird aufgrund des Stammumfangs geschätzt, Ab 2006 ist das genaue Pflanzjahr bekannt,";;;;;;;
