Straßenverkehrsunfälle – Verunglückte Personen nach Geschlecht und Gemeindebezirken 2021;;;;;;;;;;;;;
Gemeindebezirk;Verletzte Personen;;;;Getötete Personen;;;;;;;;
;insgesamt (1);Geschlecht;;darunter,,,;insgesamt;Geschlecht;;darunter,,,;;;;;
;;Männer;Frauen;Kinder auf dem Schulweg;;Männer;Frauen;Kinder auf dem Schulweg;;;;;
Wien;5732;3352;2377;44;16;8;8;0;;;;;
1, Innere Stadt;292;152;139;1;0;0;0;0;;;;;
2, Leopoldstadt;330;202;128;2;0;0;0;0;;;;;
3, Landstraße;314;190;124;2;0;0;0;0;;;;;
4, Wieden;109;65;44;0;0;0;0;0;;;;;
5, Margareten;160;102;58;0;0;0;0;0;;;;;
6, Mariahilf;131;83;48;0;0;0;0;0;;;;;
7, Neubau;124;67;57;0;0;0;0;0;;;;;
8, Josefstadt;65;39;26;0;1;0;1;0;;;;;
9, Alsergrund;171;96;75;0;0;0;0;0;;;;;
10, Favoriten;567;347;220;5;0;0;0;0;;;;;
11, Simmering;200;130;70;2;1;1;0;0;;;;;
12, Meidling;290;158;132;3;2;0;2;0;;;;;
13, Hietzing;141;72;69;2;0;0;0;0;;;;;
14, Penzing;268;148;119;1;4;2;2;0;;;;;
15, Rudolfsheim–Fünfhaus;220;145;75;2;0;0;0;0;;;;;
16, Ottakring;263;152;110;0;0;0;0;0;;;;;
17, Hernals;151;91;60;0;0;0;0;0;;;;;
18, Währing;110;59;51;1;0;0;0;0;;;;;
19, Döbling;254;147;107;3;0;0;0;0;;;;;
20, Brigittenau;158;94;64;2;0;0;0;0;;;;;
21, Floridsdorf;460;273;187;7;2;0;2;0;;;;;
22, Donaustadt;611;333;278;6;4;3;1;0;;;;;
23, Liesing;343;207;136;5;2;2;0;0;;;;;
Quelle: Statistik Austria – Statistik der Straßenverkehrsunfälle,;;;;;;;;;;;;;
(1) Die Insgesamtzahl der verletzten Personen entspricht nicht der Summe aus verletzten Männern und verletzten Frauen, weil in drei Fällen das Geschlecht im Unfallbericht nicht vermerkt wurde,;;;;;;;;;;;;;
;;;;;;;;;;;;;
