Städtische Sportanlagen, Sporthallen und Schulturnsäle nach Gemeindebezirken 2020;;;;;;
Gemeindebezirk;Großsportanlagen (1);;"Sporthallen in Verwaltung
der Stadt Wien";;Schulturnsäle, Gym,- und Bewegungsräume im Besitz der Stadt Wien;
;abs,;m² Grundfläche;abs,;m² Grundfläche;abs,;m²
Wien;167;3425152;17;62534;575;124817
1, Innere Stadt;–;–;–;–;3;406
2, Leopoldstadt;18;1019962;2;15185;40;8015
3, Landstraße;6;69219;–;–;24;4209
4, Wieden;–;–;–;–;8;1436
5, Margareten;1;1488;1;6385;11;1748
6, Mariahilf;–;–;1;–;8;1182
7, Neubau;–;–;–;–;11;2271
8, Josefstadt;1;1268;–;–;5;1085
9, Alsergrund;–;–;–;–;10;1509
10, Favoriten;19;435620;1;3626;59;13768
11, Simmering;14;214726;1;3609;32;7849
12, Meidling;5;52402;–;–;32;5477
13, Hietzing;4;18995;–;–;13;2804
14, Penzing;10;187907;–;–;26;6185
15, Rudolfsheim-Fünfhaus;2;42432;1;4173;28;4133
16, Ottakring;4;84824;1;3884;25;4305
17, Hernals;2;35108;–;–;18;2923
18, Währing;2;21899;–;–;15;2003
19, Döbling;13;131810;–;–;15;2847
20, Brigittenau;3;78379;1;6804;29;6352
21, Floridsdorf;25;278103;2;4620;61;15911
22, Donaustadt;27;538726;3;9124;70;20219
23, Liesing;11;212284;3;5124;32;8180
Quelle: Stadt Wien Sport Wien,;;;;;;
(1) Alle Sportanlagen über 1,000 m² Fläche, inklusive Betriebsführungsverträge, inklusive Spielplätze und Jugendsportanlage in Verwaltung der Stadt Wien Sport Wien,;;;;;;
;;;;;;
