Wiener Linien – Autobus seit 2001;;;;;;;
Jahr (1);Fahrgäste;Plätze;Linien;Linienlänge;;Haltestellen;Autobusse
;;;;bei Tag;bei Nacht;;
;Mio,;;;km;;;
2001;109,7;39172;80;382,4;240,8;3137;497
2002;108,8;38912;80;384,8;240,8;3143;496
2003;108,565;39506;80;391,3;240,9;3135;495
2004;110,469;38944;81;396,78;240,9;3156;483
2005;111,65;39834;81;397,6;240,9;3163;492
2006;117,49;37677;83;391,633;276,964;3320;487
2007;116,02;38421;83;392,13;276,96;3341;478
2008;114,972;38071;84;391,18;258,76;3276;473
2009;114,69;40131;83;382,6;258,8;3261;500
2010;114,4;41228;85;384,2;237,3;3231;496
2011;113,6;40196;90;411,09;237,3;3320;480
2012;167,1;39303;98;479,9;237,4;3626;469
2013;177,6;39800;113;553,9;237,4;3877;469
2014;186,6;39064;115;589,1;237,4;4132;462
2015;201,1;38868;127;634;212,6;4283;451
2016;208,3;38936;127;633,8;198,7;4221;450
2017;202,3;40938;128;646,6;199,1;4197;469
2018;197,3;40211;129;649,2;198,8;4230;447
2019;196,1;39964;131;661,88;198,6;4291;427
2020;122,8;39776;131;668;211,9;4389;425
2021;123,3;39710;131;662,5;212,2;4371;423
Quelle: Wiener Linien GmbH & Co KG – Abteilung Unternehmenscontrolling,;;;;;;;
(1) Die Aufteilung der Fahrgäste auf die Betriebszweige erfolgte bis 2011 aufgrund der gefahrenen Platzkilometer, ab 2012 aufgrund von Fahrgastzählungen,;;;;;;;
;;;;;;;
