Stadtgebiet nach Nutzungsklassen und Gemeindebezirken 2023;;;;;;;
Gemeindebezirk;"Flächen basierend
auf rechtlichen
Bezirksgrenzen";Baulandnutzung;;;Grünland-nutzung;Gewässer;Verkehr
;;Gesamtfläche;darunter…;;;;
;;;"Wohn- und Mischnutzung - 
Schwerpunkt Wohnen";soziale u, techn, Infrastruktur;;;
;ha;;;;;;
Wien;41487,10179011;14952,3120390501;10678,6854746445;1782,5952010144001;18604,009273776403;1909,2726543290999;6021,4017424042
1, Innere Stadt;286,87738207;141,6429521892;65,8048730017;29,6529482568;27,267358531300005;3,0806056600000002;114,88677631620001
2, Leopoldstadt;1924,1995820700001;434,40538897370004;288,74099882580003;106,31083813730001;671,5352065496;403,5280623121;414,729591546
3, Landstraße;740,3076674800001;416,091127145;221,9345167833;82,2287581162;108,8198365603;0,47191388500000003;214,3889701846
4, Wieden;177,63227966;114,2387884291;95,4985844489;12,0808483251;17,8555092416;–;45,426713094200004
5, Margareten;201,16386910000003;129,29684781010002;113,6096943679;4,8370092865;8,825833644800001;–;63,0418848149
6, Mariahilf;145,50436502000002;96,4828871558;76,2984687958;8,485477909900002;3,1008246568;2,3304630578000003;43,5942932672
7, Neubau;160,82481317;116,79011122710001;92,0731538472;14,631718129800001;3,6452702034000004;–;40,3894218864
8, Josefstadt;108,99456939999999;76,27386422880001;66,40027665150001;4,616084047;2,0388516899;–;30,6813878207
9, Alsergrund;296,73847495;179,37027771330003;103,71471983730001;66,2053327853;22,485041114700003;–;94,8833329651
10, Favoriten;3182,2637313600003;1119,0621;771,9614632011001;172,9316840227;1426,7247430272;42,8152595907;594,246421
11, Simmering;2325,63737853;850,4538466792;451,69275408659996;153,2644277702;926,3463849461001;46,3283106161;502,50761868669997
12, Meidling;810,3253574900001;488,19728797010004;376,7517888468;40,6391668289;102,0290197612;–;220,07530224730002
13, Hietzing;3771,2618327500004;881,9940965945;706,157631975;153,6947848267;2650,3718971675003;15,158068794900002;223,94499475540002
14, Penzing;3376,0282125000003;994,9373434477;818,3004945494;118,9672819315;2024,6407660813002;45,4486124558;311,2589220094
15, Rudolfsheim-Fünfhaus;391,84632875000005;218,6364209281;192,6548877988;16,4623825701;33,607390081800006;3,7598863396000004;135,83832293970002
16, Ottakring;867,30481524;450,2018533045;386,2440336607;46,0757329407;261,400097045;–;155,6828514425
17, Hernals;1139,63347956;408,4589616306;382,8115043709;14,1476452295;601,6695125040001;3,7263200626;125,26653390560001
18, Währing;634,71957509;356,32128451539995;337,8364105385;16,9905890139;171,2835194993;–;107,08081629530001
19, Döbling;2494,3880731400004;906,3080047438999;772,3366037919;52,28666191250001;1190,6254651977001;110,35637377869999;287,1265523093
20, Brigittenau;571,047418;204,8765702134;155,9389520662;17,3244029439;51,558128893900005;118,42818246680001;196,20046740810002
21, Floridsdorf;4444,3367016;1885,6833614754;1269,6790751535;252,36059031190004;1762,7344075010003;150,733394251;645,1620956352
22, Donaustadt;10229,94797006;2755,4326682104;1875,4915658311;314,28502993060005;5582,8649098476;920,1863926467;971,4651904081
23, Liesing;3206,11791312;1727,1559944648002;1056,7530222146002;84,1158057874;952,5793000304001;42,9208084113;483,5232814663001
Quelle: Stadt Wien Stadtentwicklung und Stadtplanung – Realnutzungskartierung 2020,;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen,;;;;;;;
;;;;;;;
