Wiener Stadtgebiet 2023 – Geographische Eckdaten;
Geographische Informationen;
Fläche des Wiener Stadtgebietes;41,487 ha
Länge der Stadtgrenze;136,5 km
Nördliche Breite;von 48° 07' 06'' bis 48° 19' 23''
Östliche Länge;von 16° 10' 58'' bis 16° 34' 43''
Ausdehnung Nord-Süd;22,8 km
Ausdehnung West-Ost;29,4 km
Seehöhe - Tiefster Punkt (Lobau);151 m
Seehöhe - Höchster Punkt (Hermannskogel);543 m
Seehöhe - Stephansplatz;171 m
Nördlichster Grenzpunkt;Östlichster Grenzpunkt
"Ca, 1,400 m nordwestlich des ehemaligen Postamtes Stammersdorf,
Grenzpunkt 60 in der Katastralgemeinde Stammersdorf
(21, Gemeindebezirk)";"Ca, 700 m nördlich der Gänshaufen-Traverse, Grenzpunkt 176 
in der Katastralgemeinde Kaiserebersdorf-Herrschaft 
(22, Gemeindebezirk)"
Südlichster Grenzpunkt;Westlichster Grenzpunkt
"Ca, 370 m südwestlich des ""Schutzengelkreuzes""
in der Katastralgemeinde Unter-Laa (10, Gemeindebezirk)";"Westlichste Ecke der Lainzer Tiergartenmauer, ca, 1,000 m 
nordwestlich des ""Alten Dianatores"" (13, Gemeindebezirk)"
Längste Straße;
Höhenstraße (17, u, 19, Gemeindebezirk);14,986 m
Kürzeste Gasse;
Tethysgasse (2, Gemeindebezirk);11,0 m
Höchstes Bauwerk;
Donauturm im Donaupark (22, Gemeindebezirk);252 m
Höchstes Bürogebäude;
DC Tower 1 (22, Gemeindebezirk);250 m
Höchstes Wohngebäude;
Hochhaus Neue Donau (22, Gemeindebezirk);150 m
Quelle: Stadt Wien Baupolizei und Stadt Wien Stadtvermessung,;
