Fizgebarung der Stadt Wien nach Bereichen seit 2017;;;;;;;;;;;;;
Bereich;Berichtsjahr (1);;;;;;;;;;;;
;2017;;2018;;2019;;;2020;;2021;;2022;
;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;;Einzahlungen;Auszahlungen;Einzahlungen;Auszahlungen;Einzahlungen;Auszahlungen
;Mio. EUR;;;;;;;Mio. EUR;;Mio. EUR;;Mio. EUR;
Insgesamt;14693,3424095;14693,3424095;13996,35109727;13996,35109727;14212,72526524;14212,72526524;;15049,629298979999;14856,512759920002;16285,38821175;16200,592286380002;19979,5;19914,3
Vertretungskörper und allgemeine Verwaltung;1490,46511043;2371,9091500900004;1442,37940734;2360,3485047;1590,3820844000002;2547,9828232;;1603,77625446;2620,88587358;1603,12763654;2665,73646802;1620,6;2815,5
Öffentliche Ordnung und Sicherheit;12,50891746;186,70722673;10,80106049;206,02128803;11,49542575;186,5301115;;9,80795949;190,50237622;11,29493039;196,15200228;12,3;204,5
Unterricht, Erziehung, Sport und Wissenschaft;1096,62203705;2437,0761138499997;1135,47457304;2475,78513791;1171,42621869;2608,69031907;;1161,43971794;2662,77716856;1205,80172975;2791,48339756;1298,8;3010,6
Kunst, Kultur und Kultus;16,81049706;317,45597306999997;21,77348731;306,15155277;19,817919019999998;334,27069432;;13,6093947;359,68079997;14,12907228;358,15622219;14,3;365,9
Soziale Wohlfahrt und Wohnbauförderung;373,40951933;2747,74502238;373,45196722;2831,98084161;385,02714907999996;2855,5058146399997;;606,765842;3205,1315528;446,98749488;3072,39031887;658;3582,9
Gesundheit;25,00217065;2444,5092561799997;26,96405393;2361,08433948;30,65155903;2529,0723456700002;;27,13985086;2767,43436648;31,21265743;3776,25687794;49,3;3976,7
Straßen, Wasserbau, Verkehr;126,49037428;1053,89049084;87,80429779;978,95432701;164,27772455000002;1100,32799286;;87,83743697;937,93789551;201,02044002;1276,90347561;101,8;1392,9
Wirtschaftsförderung;20,01451788;93,43563316;44,09885966;82,63823984;250,45895861000002;110,80354236;;16,70332044;160,81801706;31,72493894;142,69912522;26,8;103,5
Dienstleistungen;744,16876722;824,1220035499999;778,3637341;837,96925042;767,6736819700001;822,25430222;;765,3354673099999;852,2963925;771,13842172;873,9504642;847;895,5
Fizwirtschaft;10787,85049814;2216,49153965;10075,23965639;1555,4176155;9821,51454414;1117,2873194000001;;10757,21405481;1099,04831724;11968,9508898;1046,86393449;15350,5;3566,1
Quelle: Rechnungsabschluss der Stadt Wien.;;;;;;;;;;;;;
(1) Aufgrund der Umstellung auf einen Ergebnis- und einen Fizierungshaushalt handelt es sich ab 2020 um Ein- bzw. Auszahlungen statt um Ein- und Ausgaben.;;;;;;;;;;;;;
