Einnahmeerfolg und Abgabenertragsanteile Wiens als Land und Gemeinde nach Abgabenart 2022;;;;;
Abgabenart;Einnahmeerfolg (1);;Ertragsanteile Wiens;;
;in Wien;in Österreich;insgesamt;als Land;als Gemeinde
;;;;;
;Mio. EUR;;;;
Insgesamt;;;7656,3758904800925;4125,506683235031;3530,8692072450613
Einkommen- und Vermögensteuer;;;4155,077163561728;2395,87519107514;1759,2019724865888
Veranlagte Einkommensteuer;;;423,2983444564495;244,1601729358447;179,13817152060483
Lohnsteuer;;;2382,7543296489093;1374,3821982997752;1008,3721313491344
Kapitalertragsteuer;;;225,34054775169895;129,9773264626443;95,36322128905465
Kapitalertragsteuer auf Zinsen;;;97,01561242321985;55,95899208428699;41,05662033893286
Körperschaftsteuer;;;1012,8363962797216;584,2080719425472;428,6283243371743
Übrige Steuern;;;13,83193300172934;7,188429350041588;6,643503651687752
Sonstige Steuern;;;3499,978375059257;1728,8699079428072;1771,1084671164494
Umsatzsteuer;;;2124,3159064773217;1211,5011993098465;912,814707167475
Mineralölsteuer;;;307,25723119905206;177,22719610841216;130,03003509063987
Grunderwerbsteuer;;;483,077750548575;2,8483237110543995;480,22942683752063
Motorbezogene Versicherungssteuer;;;202,98221803874998;117,08095273295233;85,90126530579766
Tabaksteuer;;;154,19132207772742;88,93816939455988;65,25315268316754
Übrige Steuern;;;228,15394671783068;131,274066685982;96,87988003184867
Kunstförderungsbeitrag;;;1,3203518591079857;0,7615842170843578;0,5587676420236279
Quelle: Bundesrechenzentrum.;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;
(1) Daten seit dem Jahr 2017 nicht verfügbar.;;;;;
