Personal der Bundesverwaltung in Wien nach Dienststellen und Geschlecht 2022;;;;;;;;;
Dienststelle (1);Insgesamt;Geschlecht;;Beschäftigte zum 31.12. – davon…;;;;;
;;;;Beamtinnen und Beamte;;;Vertragsbedienstete;;
;;Männer;Frauen;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;;;Männer;Frauen;;Männer;Frauen
Personal der Bundesverwaltung;49154;24059;25095;19992;12734;7258;29162;11325;17837
Präsidentschaftskanzlei;78;34;44;27;15;12;51;19;32
Bundesgesetzgebung;779;390;389;474;275;199;305;115;190
Verfassungsgerichtshof;124;47;77;39;12;27;85;35;50
Verwaltungsgerichtshof;203;81;122;80;45;35;123;36;87
Volksanwaltschaft;108;36;72;44;20;24;64;16;48
Bundesrechnungshof;295;146;149;221;112;109;74;34;40
Bundeskanzleramt;1030;400;630;270;104;166;760;296;464
Bundesministerium für …;;;;;;;;;
Inneres;12925;8718;4207;9503;7214;2289;3422;1504;1918
darunter Wachebeamte;8878;6925;1953;8155;6420;1735;723;505;218
"europäische und internationale 
Angelegenheiten";1240;602;638;386;246;140;854;356;498
Justiz;4571;1878;2693;2410;1287;1123;2161;591;1570
Fizen;4320;2032;2288;1773;927;846;2547;1105;1442
Kunst, Kultur, öffentlichen Dienst und Sport;673;295;378;167;72;95;506;223;283
"Soziales, Gesundheit, Pflege 
und Konsumentenschutz";1065;391;674;340;129;211;725;262;463
Bildung, Wissenschaft und Forschung;17499;6955;10544;2718;1418;1300;14781;5537;9244
Arbeit und Wirtschaft;1848;925;923;773;429;344;1075;496;579
Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie;1218;536;682;336;159;177;882;377;505
Land- und Forstwirtschaft, Regionen und Wasserwirtschaft;1178;593;585;431;270;161;747;323;424
Quelle: Bundeskanzleramt.;;;;;;;;;
(1) Bezeichnung der Bundesministerien mit Stand 31.12.2022. Ohne Personal des Bundesministeriums für Landesverteidigung, da die Daten nur als Bundesgesamtsumme zur Verfügung stehen.;;;;;;;;;
;;;;;;;;;
