Wiener Volkshochschulen seit 1998/99 Ã¢â‚¬â€œ BesucherInnen;;;;;;;;
Kursjahr;BesucherInnen nach Kurskategorien (1);;;;;;;
;Insgesamt;Politik, 
Gesellschaft 
und Kultur;Grundbildung 
und Zweiter 
Bildungsweg;Naturwissen-
schaften, Technik 
und Umwelt;berufliche und 
berufsorientierte 
Bildung;Sprachen;KreativitÃƒÂ¤t und 
Gestalten;Gesundheit und 
Bewegung
1998/99;150091;22135;7057;2160;12345;41741;28969;35684
1999/00;153504;21828;9749;2543;13359;40324;28590;37111
2000/01;149126;18782;9740;2207;14777;40738;27495;35387
2001/02;146325;16559;8756;2088;11710;41594;30917;34701
2002/03;144618;15798;10053;1836;10897;41920;25858;38256
2003/04;142881;17770;11736;1979;9567;41630;21743;38456
2004/05;146117;13242;13105;1496;9989;41783;27255;39247
2005/06;142453;9756;12973;1377;9118;41167;28451;39611
2006/07;144844;9466;12982;1409;9424;41371;28660;41532
2007/08;139453;9483;12383;1062;7908;40283;27392;40942
2008/09;132539;4246;14664;672;10428;38094;22099;42336
2009/10;129196;3958;15727;438;9824;35584;21673;41992
2010/11;130589;4270;19825;391;8720;36338;21151;39894
2011/12;130726;4346;21395;433;7312;38264;19322;39654
2012/13;123322;1995;23963;315;5663;33770;18929;38687
2013/14;125325;3758;30580;238;6083;32634;16442;35590
2014/15;131675;5759;28627;281;6085;34292;17612;39019
2015/16;134568;4878;26869;192;6525;39295;17638;39171
2016/17;129250;3835;27436;74;8371;39416;16350;33768
2017/18;130209;2751;29942;143;9317;34889;17924;35243
2018/19;122019;2787;25131;139;6378;33269;18408;35907
Quelle: Die Wiener Volkshochschulen GmbH.;;;;;;;;
(1) Die Bezeichnungen der Kurskategorien stammen aus dem Kursjahr 2017/18.;;;;;;;;
