Wiener Volkshochschulen 2018/19 Ã¢â‚¬â€œ Kurse nach Kurskategorien und Volkshochschulen;;;;;;;;
Volkshochschule;Kurse nach Kurskategorien;;;;;;;
;Insgesamt;Politik, 
Gesellschaft 
und Kultur;Grundbildung 
und Zweiter 
Bildungsweg;Naturwissen-
schaften, Technik 
und Umwelt;berufliche und 
berufsorientierte 
Bildung;Sprachen;KreativitÃƒÂ¤t und 
Gestalten;Gesundheit und 
Bewegung
Insgesamt;13681;329;1720;15;795;4197;2529;4096
Urania;709;37;0;2;3;404;54;209
LandstraÃƒÅ¸e;588;27;0;0;12;272;76;201
Polycollege;1142;24;230;0;58;336;299;195
Wien-West;582;7;0;0;41;163;96;275
Alsergrund, WÃƒÂ¤hring, DÃƒÂ¶bling;1201;37;0;2;37;361;238;526
Favoriten;950;15;283;0;20;301;127;204
Simmering;632;9;11;0;48;138;164;262
Meidling;1352;15;383;0;326;295;156;177
Hietzing;627;25;6;2;35;232;76;251
Penzing;663;23;2;1;29;162;105;341
Rudolfsheim-FÃƒÂ¼nfhaus;290;11;80;1;21;32;49;96
Ottakring-Hernals;1129;15;284;2;11;340;102;375
Brigittenau;584;32;38;0;5;328;86;95
Floridsdorf;1154;5;363;5;85;349;111;236
Donaustadt;714;29;23;0;25;268;98;271
Liesing;737;12;1;0;20;156;195;353
KÃƒÂ¼nstlerische Volkshochschule;536;6;16;0;19;0;495;0
JÃƒÂ¼disches Institut;91;0;0;0;0;60;2;29
Quelle: Die Wiener Volkshochschulen GmbH.;;;;;;;;
;;;;;;;;
;;;;;;;;
