Ãƒâ€“ffentliche Bibliotheken nach BundeslÃƒÂ¤ndern 2018;;;;;;;;;;;
Bundesland;Bibliotheken und
Zweigstellen (1);Medien;Entlehnungen;Aktive
NutzerInnen;Bibliotheks-
besuche;Aktive
NutzerInnen;Bibliotheks-
besuche;MitarbeiterInnen;;;
;;1000;;;;pro 100 der
WohnbevÃƒÂ¶lkerung;;insgesamt;hauptberuflich;nebenberuflich;ehrenamtlich
Ãƒâ€“sterreich;1383;11284;23815,1;812,1;10343,3;9,2;117;10049;833;562;8654
Burgenland;67;300;298,7;20,5;124,2;7;42,4;265;9;14;242
KÃƒÂ¤rnten;53;658,3;650,7;26,4;274,5;4,7;49;202;35;45;122
NiederÃƒÂ¶sterreich;257;1748,1;2190,5;102,7;1048,7;6,1;62,7;1725;90;98;1537
OberÃƒÂ¶sterreich;330;2138,3;4311;142,9;1984,6;9,7;134,3;3187;108;109;2970
Salzburg;113;904,6;2320,7;70,7;916,3;12,8;165,4;600;68;44;488
Steiermark;202;1567,9;2744,6;112;1227,1;9;98,9;1244;119;122;1003
Tirol;182;1191,1;1806,8;82,6;837,4;11;111,3;1485;59;54;1372
Vorarlberg;94;964;2744,4;76,7;1020,9;19,5;259,7;901;75;30;796
Wien;85;1811,7;6747,7;177,6;2909,6;9,4;153,8;440;270;46;124
Quelle: Statistik Austria Ã¢â‚¬â€œ Kulturstatistik.;;;;;;;;;;;
(1) Ohne Schulbibliotheken, sofern diese nicht gleichzeitig auch als ÃƒÂ¶ffentliche Bibliotheken fungieren.;;;;;;;;;;;
;;;;;;;;;;;
