Arbeitslose Personen (inkl. SchulungsteilnehmerInnen) in Wien nach hÃƒÂ¶chster abgeschlossener Ausbildung und Geschlecht seit 2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ausbildung;Berichtsjahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2008;;;2009;;;2010;;;2011;;;2012;;;2013;;;2014;;;2015;;;2016;;;2017;;;2018;;;2019;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen
Insgesamt;66487;39601;26886;73052;44431;28621;74179;44234;29946;79152,3333333333;46466,25;32686,0833333333;83015,8333333333;49021,5;33994,3333333333;90229,5833333333;53431,8333333333;36797,75;104404;61695;42708;124685;74241;50444;128375;75520;52855;155127,083333333;89521,4166666666;65605,6666666666;147692;84086;63606;140715;78311;62404
Kein Schulabschluss;7845,58333333333;4369,66666666667;3475,91666666667;8607,08333333333;5009,41666666667;3597,66666666667;9152,75;5152,33333333333;4000,41666666667;10362,8333333333;5741,91666666667;4620,91666666667;10609,25;6013,33333333333;4595,91666666667;11434,9166666667;6470,33333333333;4964,58333333333;13098;7372;5726;14308;8217;6091;12146;6764;5382;14093,8333333333;7880,49999999999;6213,33333333333;13464,5;7506;5959;13271;7066;6205
Pflichtschulabschluss;28839,5833333333;17140,3333333333;11699,25;30698,8333333333;18731;11967,8333333333;30504,4166666667;18308,1666666667;12196,25;32718,3333333333;19343,9166666667;13374,4166666667;34334,75;20447,1666666667;13887,5833333333;37200,5833333333;22264,9166666667;14935,6666666667;42871;25631;17240;50812;30558;20254;50901;30447;20454;62338,8333333333;36952,5833333333;25386,25;58500,5;34361;24140;55563;32026;23537
Abgeschlossene Lehre *;16266,6666666666;11471,6666666667;4795;18018,8333333333;12860,25;5158,58333333333;17874;12521;5353;18364,1666666666;12719,5833333333;5644,58333333333;19401,1666666666;13462,75;5938,41666666667;20886,5833333334;14593,0833333333;6293,5;24044;16881;7164;28930;20296;8634;30216;20908;9308;33270,75;22307,5833333333;10963,1666666667;30476,9167;20098;10379;28260;18326;9934
Mittlerer Schulabschluss;2670,58333333333;1044,91666666667;1625,66666666667;2992,25000000001;1211,08333333333;1781,16666666667;3063;1269;1794;3155;1315,75;1839,25;3245,91666666667;1379,16666666667;1866,75;3380;1416,75;1963,25;3842;1633;2210;4706;2051;2655;5224;2336;2889;6449,83333333332;2842,41666666666;3607,41666666665;6394,66667;2885;3509;6062;2713;3349
HÃƒÂ¶herer Schulabschluss;6743,16666666667;3554,91666666667;3188,25;7764,58333333333;4172,41666666667;3592,16666666666;8040;4308;3733;8385,33333333333;4459,33333333334;3926,00000000001;8885,08333333334;4647,83333333334;4237,25000000001;9818,00000000001;5167,58333333333;4650,41666666667;11600;6011;5589;14680;7744;6936;17058;8986;8072;22543,1666666667;11735,5833333333;10807,5833333333;22223,5833;11523;10701;21199;10705;10494
UniversitÃƒÂ¤tsabschluss **;3854,75;1882;1972,75;4647,33333333333;2277,08333333333;2370,25;5195;2503;2692;5733,66666666667;2677,5;3056,16666666667;6115,16666666667;2860,58333333334;3254,58333333333;7038;3270;3768;8439;3898;4542;10767;5093;5674;12558;5922;6636;16160,75;7640,16666666666;8520,58333333333;16414,8333;7588;8826;16180;7375;8805
UngeklÃƒÂ¤rte Ausbildung;267;137,833333333333;128,666666666667;322,833333333333;169,75;153,083333333333;350;172;178;433;208,25;224,75;424,5;210,666666666667;213,833333333333;471,75;249,333333333333;222,416666666667;509;269;240;483;282;201;270;158;112;269,916666666655;162,583333333318;107,333333333319;216,75;125;92;180;100;80
Quelle: Arbeitsmarktservice Wien.  Berechnung MA 23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
* EinschlieÃƒÅ¸lich MeisterprÃƒÂ¼fung.
** EinschlieÃƒÅ¸lich Akademien und Fachhochschulen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
