Arbeitslose Personen (inkl. SchulungsteilnehmerInnen) in Wien nach StaatsangehÃƒÂ¶rigkeit und Geschlecht sowie offene Stellen;;;;;;;;
Jahr;Arbeitslose Personen (inkl. SchulungsteilnehmerInnen) im Jahresdurchschnitt;;;;;;;Offene Stellen
;Insgesamt;Ãƒâ€“sterreicherInnen;;;AuslÃƒÂ¤nderInnen;;;
;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;
;;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen;
2000;69142;57387,75;32316,4166666667;25071,3333333334;11755,25;7878,16666666666;3877,08333333334;7016
2001;73546;58698,5833333333;33205;25493,5833333333;14848,25;9998,16666666666;4850,08333333333;5173
2002;85411;67826,75;38933,3333333333;28893,4166666666;17584,5;11773,1666666667;5811,33333333333;3518
2003;92897;73371,8333333334;42538,9166666667;30832,9166666667;19525,25;12944,5;6580,75;2864
2004;96430;75398,5;43781,0833333334;31617,4166666667;21031,4166666667;13791;7240,41666666667;2943,33333333333
2005;99122;75543,5833333333;43543;32000,5833333333;23577,8333333333;15085,6666666666;8492,16666666667;4284
2006;97589;73552,9166666667;42368;31184,9166666667;24036,3333333334;14926;9110,33333333333;5188
2007;91063;68325;39355,3333333334;28969,6666666666;22738,0833333334;13926,6666666666;8811,41666666666;7112
2008;84643;62922,8333333333;36073;26849,8333333333;21719,6666666666;13157,5833333334;8562,08333333334;7308,25
2009;95862;69695;40539,3333333333;29155,6666666667;26166,8333333333;15958,6666666667;10208,1666666667;6109
2010;100023;71468,8333333333;41183,4166666667;30285,4166666666;28553,8333333334;16682,5833333333;11871,25;6439
2011;100766;71324,1666666667;40952,1666666667;30372;29442,0833333333;17010,1666666667;12431,9166666667;5452
2012;108791;74509,9166666667;42800,75;31709,1666666666;34281,0833333333;19937,9166666666;14343,1666666667;4576
2013;120816;80025,6666666667;46057,25;33968,4166666667;40790,3333333334;23743,6666666666;17046,6666666666;4169
2014;135545;86681,5833333334;50076,5833333333;36605;48862,8333333333;28434,8333333333;20428;4444
2015;149486;91271,8333333333;52873,9166666667;38397,9166666667;58214,5833333333;34643,5833333333;23571;4558
2016;155948;90628,3333333333;52114;38514,3333333333;65319,3333333333;38820,6666666667;26498,6666666666;5374
2017;155127;88013,4166666666;50172,6666666667;37840,75;67114,1666666666;39348,75;27765,4166666666;6865
2018;147691;81787;46264;35523;65904;37821;28083;10244
2019;140713;76747;42970;33777;63966;35342;28624;12785
Quelle: Arbeitsmarktservice Wien, Berechnung MA 23.;;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;;
;;;;;;;;
;;;;;;;;
Anmerkung: Tabelle nun ab 2000 statt ab 1991; Stellenandrangsziffer gestrichen, neue ÃƒÅ“berschrift;;;;;;;;
