Ausgaben für F&E nach Durchführungssektoren und Forschungsarten in Wien 2017;;;;;;;;
Sektoren, Bereiche;Ausgaben für F&E insgesamt;Davon;;;;;;
;;Grundlagenforschung;;angewandte Forschung;;experimentelle Entwicklung;;
;in 1,000 EUR;in 1,000 EUR;in %;in 1,000 EUR;in %;in 1,000 EUR;in %;
Insgesamt;3562496;918511;25,8;1205232;33,8;1438753;40,4;
Hochschulsektor *;1252494;661773;52,8;470648;37,6;120073;9,6;
Universitäten (ohne Kliniken);1038716;598301;57,6;348857;33,6;91558;8,8;
Universitätskliniken;147975;41928;28,3;83633;56,6;22414;15,1;
Universitäten der Künste;27217;15880;58,4;7542;27,7;3795;13,9;
Fachhochschulen;23892;1114;4,7;21563;90,2;1215;5,1;
Sonstiger Hochschulsektor **;14694;4550;31;9053;61,6;1091;7,4;
Sektor Staat ***;403054;184685;45,8;125670;31,2;92699;23;
Landeskrankestalten;;;;;;;;
Akademie der Wissenschaften;125072;116202;92,9;6764;5,4;2106;1,7;
Privater gemeinnütziger Sektor ****;32096;4814;15;23865;74,4;3417;10,6;
Unternehmenssektor;1874852;67239;3,6;585049;31,2;1222564;65,2;
Kooperativer Bereich *****;17766;5318;29,9;9856;55,5;2592;14,6;
Firmeneigener Bereich;1857086;61921;3,3;575193;31;1219972;65,7;
Quelle: Statistik Austria – Erhebung über Forschung und experimentelle Entwicklung 2017_ Sonderauswertung für Wien, erstellt am 19,09,2019,;;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen,;;;;;;;;
"* Ohne Österreichische Akademie der Wissenschaften, 
** Privatuniversitäten und Pädagogische Hochschulen, 
*** Bundesinstitutionen (unter Ausklammerung der im Hochschulsektor zusammengefassten), Landes-, Gemeinde- und Kammerinstitutionen, F&E-Einrichtungen der Sozialversicherungsträger, von der öffentlichen Hand fizierte und/oder kontrollierte private gemeinnützige Institutionen sowie F&E-Einrichtungen der Ludwig Boltzmann Gesellschaft_ einschließlich Österreichische Akademie der Wissenschaften und AIT Austrian Institute of Technology GmbH_ ohne Landeskrankestalten, Die Landeskrankestalten wurden nicht mittels Fragebogenerhebung erfasst, sondern es erfolgte eine Schätzung der F&E-Ausgaben durch Statistik Austria auf Basis der Meldungen der Ämter der Landesregierungen, Eine Aufgliederung der F&E-Ausgaben nach Forschungsarten liegt nicht vor,
**** Private gemeinnützige Institutionen, deren Status ein vorwiegend privater oder privatrechtlicher, konfessioneller oder sonstiger nicht öffentlicher ist, 
***** Ordentliche Mitglieder der Austrian Cooperative Research (ACR) und Kompetenzzentren,";;;;;;;;
