Fizierung der Ausgaben für F&E in sämtlichen Erhebungsbereichen * 2017 nach Bundesländern ** und Fizierungsbereichen ***;;;;;;;;
Bundesländer;F&E durchführende Erhebungsein-heiten ****;Insgesamt;Fizierungsbereiche;;;;;
;;;Unternehmens-sektor;Öffentlicher Sektor;Privater gemeinnütziger Sektor;"Neu: Hochschul-
sektor *****";Ausland einschl, internat, Organisationen (ohne EU);EU
;;;;;;;;
;;in 1,000 EUR;;;;;;
Österreich;5084;11289781;6170303;3117773;38987;88450;1667568;206700
Burgenland;79;75811;58451;10647;–;31;5581;1101
Kärnten;223;650100;230282;78663;233;640;334385;5897
Niederösterreich;558;909177;616401;187469;5622;11074;66021;22590
Oberösterreich;874;2143925;1735033;221122;2083;3512;166256;15919
Salzburg;275;435457;284685;130491;2181;3405;7821;6874
Steiermark;942;2155313;951151;600642;2564;13392;549018;38546
Tirol;414;978218;523784;338053;2338;7962;92636;13445
Vorarlberg;159;314711;279704;27556;83;113;5406;1849
Wien;1560;3627069;1490812;1523130;23883;48321;440444;100479
Quelle: Statistik Austria – Erhebung über Forschung und experimentelle Entwicklung 2017, Erstellt am 08,08,2019,;;;;;;;;
"* Einschließlich Landeskrankestalten, Die Landeskrankestalten wurden nicht mittels Fragebogenerhebung erfasst, sondern es erfolgte eine Schätzung der F&E-Ausgaben durch Statistik Austria unter Heranziehung der Meldungen der Ämter der Landesregierungen, 
** Die Standardauswertung erfolgte nach dem Hauptstandort der F&E betreibenden Einrichtung bzw, des Unternehmens, 
*** Die Fizierung durch die Forschungsprämie wird nicht mehr dem öffentlichen Sektor zugerechnet, sondern, entsprechend den revidierten internationalen  Richtlinien der F&E-Statistik (Frascati-Handbuch 2015), als Teil der eigenen Mittel der F&E betreibenden Einrichtung angesehen (z,B, bei Unternehmen: Fizierung durch den Unternehmenssektor), 
**** Anzahl der Erhebungseinheiten ohne Landeskrankestalten, 
*****  2017 erstmals als eigener Sektor bei der Fizierung - vorher beim öffentlichen Sektor inkludiert, Einschließlich Eigenmittel der Hochschulen, die aus Einnahmen für Gutachten, Prüfungen und Untersuchungen im Auftrag Dritter stammen_ außerdem Einnahmen aus Spenden und Sponsoring für F&E sowie Studiengebühren,";;;;;;;;
