Beschäftigte in F&E nach Durchführungssektoren/Erhebungsbereichen und Beschäftigtenkategorien in Wien 2017;;;;;;
Sektoren, Bereiche;"F&E durchführende
Erhebungseinheiten";Beschäftigte;;;;
;;insgesamt;wissenschaftliches Personal;"höher qualifiziertes 
nicht wissenschaftliches Personal";"sonstiges
Hilfspersonal";
Kopfzahlen;;;;;;
Insgesamt;1560;46061;32793;9800;3468;
Hochschulsektor *;522;23257;17873;3319;2065;
Universitäten (ohne Kliniken);447;17744;13652;2530;1562;
Universitätskliniken;27;3522;2556;580;386;
Universitäten der Künste;33;1125;965;83;77;
Fachhochschulen;8;529;381;118;30;
Sonstiger Hochschulsektor**;7;337;319;8;10;
Sektor Staat ***;161;6711;4602;1317;792;
Landeskrankestalten;;;;;;
Akademie der Wissenschaften;30;1521;1202;302;17;
Privater gemeinnütziger Sektor ****;29;505;331;139;35;
Unternehmenssektor;848;15588;9987;5025;576;
Kooperativer Bereich *****;12;443;364;60;19;
Firmeneigener Bereich;836;15145;9623;4965;557;
Vollzeitäquivalente;;;;;;
Insgesamt;1560;23417,5;16438,4;5469,8;1509,2;
Hochschulsektor *;522;8657,2;6534,9;1314,3;808;
Universitäten (ohne Kliniken);447;7118,2;5401,5;1053,4;663,3;
Universitätskliniken;27;1061,5;726,9;219,4;115,1;
Universitäten der Künste;33;239,7;192,4;23,8;23,5;
Fachhochschulen;8;151,2;131,8;16,1;3,4;
Sonstiger Hochschulsektor**;7;86,6;82,3;1,7;2,7;
Sektor Staat ***;161;3429,6;2531,2;556,8;341,6;
Landeskrankestalten;;;;;;
Akademie der Wissenschaften;30;864,8;704,3;153,2;7,3;
Privater gemeinnütziger Sektor ****;29;272,8;193,5;67,5;11,8;
Unternehmenssektor;848;11058;7178,8;3531,3;347,9;
Kooperativer Bereich *****;12;231,8;200,3;27,6;3,9;
Firmeneigener Bereich;836;10826,2;6978,5;3503,7;344;
Quelle: Statistik Austria – Erhebung über Forschung und experimentelle Entwicklung 2017, Sonderauswertung für Wien, erstellt am 19,09,2019,;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen,;;;;;;
"* Ohne Österreichische Akademie der Wissenschaften, 
** Privatuniversitäten und Pädagogische Hochschulen, 
*** Bundesinstitutionen (unter Ausklammerung der im Hochschulsektor zusammengefassten), Landes-, Gemeinde- und Kammerinstitutionen, F&E-Einrichtungen der Sozialversicherungsträger, von der öffentlichen Hand fizierte und/oder kontrollierte private gemeinnützige Institutionen sowie F&E-Einrichtungen der Ludwig Boltzmann Gesellschaft_ einschließlich Österreichische Akademie der Wissenschaften und AIT Austrian Institute of Technology GmbH_ ohne Landeskrankestalten, Die Landeskrankestalten wurden nicht mittels Fragebogenerhebung erfasst, sondern es erfolgte eine Schätzung der F&E-Ausgaben durch Statistik Austria auf Basis der Meldungen der Ämter der Landesregierungen, Daher liegen keine Daten über Beschäftigte in F&E vor, 
**** Private gemeinnützige Institutionen, deren Status ein vorwiegend privater oder privatrechtlicher, konfessioneller oder sonstiger nicht öffentlicher ist, 
***** Ordentliche Mitglieder der Austrian Cooperative Research (ACR) und Kompetenzzentren,";;;;;;
