Ausgaben für F&E nach Durchführungssektoren/Erhebungssektoren und Ausgabearten in Wien 2017;;;;;;
Sektoren, Bereiche;F&E durchführende Erhebungsein-heiten *;Insgesamt;Davon;;;
;;;Personalaus-gaben;"laufende
Sachausgaben";"Ausgaben für
Ausrüstungsinvestitionen";"Bauausgaben
und Ausgaben für
Liegenschafts-ankäufe"
;;in 1,000 EUR;;;;
Insgesamt;1560;3627069;1822994;1599166;163696;41213
Hochschulsektor **;522;1252494;595011;561437;66876;29170
Universitäten (ohne Kliniken);447;1038716;470919;483084;61066;23647
Universitätskliniken;27;147975;89346;53887;4374;368
Universitäten der Künste;33;27217;17059;9791;367;–
Fachhochschulen;8;23892;10248;10860;910;1874
Sonstiger Hochschulsektor ***;7;14694;7439;3815;159;3281
Sektor Staat ****;161;467627;256576;183042;23795;4214
Landeskrankestalten;;64573;26866;35334;1445;928
Akademie der Wissenschaften;30;125072;55603;62109;6533;827
Privater gemeinnütziger Sektor *****;29;32096;17041;14043;555;457
Unternehmenssektor;848;1874852;954366;840644;72470;7372
Kooperativer Bereich *******;12;17766;13163;4001;393;209
Firmeneigener Bereich;836;1857086;941203;836643;72077;7163
Quelle: Statistik Austria – Erhebung über Forschung und experimentelle Entwicklung 2017_ Sonderauswertung für Wien, erstellt am 19,09,2019,;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen,;;;;;;
"* Insgesamt sowie Sektor Staat: Anzahl der Erhebungseinheiten ohne Landeskrankestalten, 
** Ohne Österreichische Akademie der Wissenschaften, 
*** Privatuniversitäten und Pädagogische Hochschulen,
**** Bundesinstitutionen (unter Ausklammerung der im Hochschulsektor zusammengefassten), Landes-, Gemeinde- und Kammerinstitutionen, F&E-Einrichtungen der Sozialversicherungsträger, von der öffentlichen Hand fizierte und/oder kontrollierte private gemeinnützige Institutionen sowie F&E-Einrichtungen der Ludwig Boltzmann Gesellschaft_ einschließlich Österreichische Akademie der Wissenschaften und AIT Austrian Institute of Technology GmbH_ einschließlich Landeskrankestalten, Die Landeskrankestalten wurden nicht mittels Fragebogenerhebung erfasst, sondern es erfolgte eine Schätzung der F&E-Ausgaben durch Statistik Austria auf Basis der Meldungen der Ämter der Landesregierungen, - 
***** Private gemeinnützige Institutionen, deren Status ein vorwiegend privater oder privatrechtlicher, konfessioneller oder sonstiger nicht öffentlicher ist, 
****** Ordentliche Mitglieder der Austrian Cooperative Research (ACR) und Kompetenzzentren,";;;;;;
