Religionsaustritte nach Religionsgemeinschaften und Gemeindebezirken 2018;;;;;
Gemeindebezirk;Insgesamt;Religionsaustritte aus (der)…;;;
;;römisch-katholischen
Kirche;evangelischen
Kirche A.B.;evangelischen
Kirche H.B.;sonstigen Religions-
gemeinschaften
Wien;12685;11275;1090;41;279
1. Innere Stadt;91;82;7;–;2
2. Leopoldstadt;744;633;75;4;32
3. Landstraße;697;610;59;4;24
4. Wieden;253;233;17;2;1
5. Margareten;476;439;26;1;10
6. Mariahilf;311;289;15;–;7
7. Neubau;334;304;27;–;3
8. Josefstadt;233;215;15;1;2
9. Alsergrund;409;353;42;3;11
10. Favoriten;729;661;55;2;11
11. Simmering;617;540;59;2;16
12. Meidling;544;475;54;1;14
13. Hietzing;412;377;29;–;6
14. Penzing;659;598;45;1;15
15. Rudolfsheim-Fünfhaus;526;498;23;1;4
16. Ottakring;643;562;50;2;29
17. Hernals;378;347;27;–;4
18. Währing;426;367;47;1;11
19. Döbling;473;438;27;1;7
20. Brigittenau;475;418;38;2;17
21. Floridsdorf;1145;1014;113;5;13
22. Donaustadt;1460;1265;156;5;34
23. Liesing;650;557;84;3;6
Quelle: MA 62.;;;;;
