Religionsaustritte in Wien nach Monaten, Geschlecht und Religionsgemeinschaften 2018;;;;;;;
Monat;Insgesamt;Geschlecht;;Religionsaustritte aus (der)…;;;
;;Männer;Frauen;röm.-kath.
Kirche;evangelischen Kirche A.B.;evangelischen Kirche H.B.;sonst. Religions-
gemeinschaften
2018;12685;6048;6637;11275;1090;41;279
Jänner;1285;590;695;1154;97;3;31
Februar;1268;588;680;1167;72;5;24
März;1186;556;630;1068;95;2;21
April;1075;544;531;878;171;2;24
Mai;1020;477;543;895;102;4;19
Juni;616;289;327;524;72;1;19
Juli;828;415;413;734;72;–;22
August;902;428;474;825;58;1;18
September;1135;577;558;1058;50;3;24
Oktober;1235;558;677;1120;71;5;39
November;1056;521;535;932;93;13;18
Dezember;1079;505;574;920;137;2;20
Quelle: MA 62.;;;;;;;
