Religionsgemeinschaften in Wien 2018 – Islamische Glaubensgemeinschaft und Orthodoxe Kirchen;;;;;;
Merkmal;Islamisch;Orthodoxe Kirchengemeinden;;;;
;;bulgarisch-
orthodox;griechisch-
orthodox;rumänisch-
orthodox;russisch-
orthodox;serbisch-
orthodox
Glaubensangehörige insgesamt *;.;10000;24000;11798;12000;12500
Männer;.;.;.;.;.;.
Frauen;.;.;.;.;.;.
Taufen **;–;28;36;288;168;760
Übertritte **;9;–;8;4;1;10
Trauungen **;4;3;6;38;27;49
Kirchengemeinden (Pfarren);–;1;4;3;1;10
Stätten der Religionsausübung;.;1;3;3;2;3
Geistliche;.;1;9;4;12;13
Von der Glaubensgemeinschaft
erhaltene Bildungseinrichtungen;12;–;2;–;2;–
Schulen ***;12;–;1;–;–;–
Kindergärten;–;–;1;–;2;–
Quelle: Islamische Glaubensgemeinschaft Österreich - Islamische Religionsgemeinde Wien, Bulgarisch-orthodoxe Kirchengemeinde Hl. Ivan Rilski, Griechisch-orientalische Metropolis von Austria, Rumänisch-orthodoxe Kirchengemeinde zur Hl. Auferstehung, Russisch-orthodoxe Kirchengemeinde zum Hl. Nikolaus, Serbische Orthodoxe Kirche - Diözese von Österreich und der Schweiz.;;;;;;
* Die Zahl der Glaubensangehörigen, außer bei der rumänisch-orthodoxen Kirchengemeinde, beruht auf Schätzung der jeweiligen Pfarrer. Es gab nach Schätzung der Islamischen Religionsgemeinde Wien im Jahr 2017 ca. 195.000 passive Mitglieder. 
** Taufen, Übertritte (Konversionen, d.h. Übertritt von einer Glaubensgemeinschaft in eine andere, und Reversionen, d.h. Rückkehr in die ursprüngliche Glaubensgemeinschaft nach einem Austritt aus derselben) sowie Trauungen (kirchliche Eheschließungen) in den Pfarrkirchen bzw. Pfarrgemeinden der jeweiligen Religionsgemeinschaft.
 *** In den islamischen Schulen unterrichteten 2018 253 ReligionslehrerInnen. Für die bulgarisch-orthodoxe, griechisch-orthodoxe, rumänisch-orthodoxe, russisch-orthodoxe und serbisch-orthodoxe Kirche in Österreich gibt es einen gemeinsamen orthodoxen Religionsunterricht und seit Juni 2005 in Wien ein Orthodoxes Schulamt. Das Orthodoxe Schulamt als eine innerkirchliche  Einrichtung ist die von der Orthodoxen Bischofskonferenz in Österreich beauftragte Stelle für die Kontakte zu den staatlichen und kirchlichen Schulbehörden und zuständig für alle organisatorischen, rechtlichen, personalen, disziplinären und administrativen Belange des orthodoxen Religionsunterrichtes. Von der russisch-orthodoxen Kirche wurde 2018 ein Religionslehrer gestellt, von der serbisch-orthodoxen Kirche wurden 2018 17 männliche und 23 weibliche ReligionslehrerInnen gestellt .;;;;;;
