Religionsgemeinschaften in Wien 2018;;;;;;;;;
Merkmal;Religionsbekenntnis;;;;;;;;
;christliche Kirchen;;;;;;;sonstige Kirchen;
;römisch-katholisch *;altkatholisch;evangelisch A.B.;evangelisch H.B.;evangelisch-
methodistisch;neuapostolisch **;Mormonen ***;israelitisch ****;buddhistisch *****
Glaubensangehörige insgesamt;610269;3752;46820;4376;669;726;1159;7890;1614
Männer;275073;1672;.;.;.;319;602;.;831
Frauen;335110;2080;.;.;.;407;557;.;783
Taufen;3751;27;431;33;15;1;9;288;3
Übertritte (Konversionen);764;.;156;12;10;2;.;10;54
Trauungen;558;4;112;11;1;2;6;3;5
Pfarrgemeinden (Kirchengemeinden);140;4;21;3;3;3;9;1;–
Stätten der Religionsausübung;225;4;28;3;2;3;9;22;28
Geistliche;1630;4;42;5;4;46;326;23;16
Männer;915;4;20;3;3;46;.;23;10
Frauen;715;–;22;2;1;–;.;–;6
ReligionslehrerInnen;834;4;121;10;–;12;127;33;5
Männer;263;4;33;2;–;6;38;16;–
Frauen;571;–;88;8;–;6;89;17;5
Von der Religionsgemeinschaft
erhaltene Bildungseinrichtungen;242;–;23;–;–;–;–;10;–
Schulen;92;–;11;–;–;–;–;5;–
Kindergärten;150;–;12;–;–;–;–;5;–
Quelle: Erzdiözese Wien – Matrikenreferat, Kirchenbeitragsstelle der Altkatholischen Kirche Österreichs, Evangelische Superintendentur A.B. – Diözese Wien, Evangelischer Oberkirchenrat H.B., Evangelisch-methodistische Kirche in Österreich, Neuapostolische Kirche Österreich, Kirche Jesu Christi der Heiligen der Letzten Tage – Österreichischer Kirchenvorstand, Israelitische Kultusgemeinde Wien – Mitgliederservice, Österreichische Buddhistische Religionsgesellschaft.;;;;;;;;;
* Darunter 86 Glaubensangehörige mit unbekanntem Geschlecht.  
** Stand 28. 6. 2019.
*** Kirche Jesu Christi der Heiligen der Letzten Tage. Als Geistliche werden alle Ältesten gezählt. Geistliche im Sinne der anderen Glaubensgemeinschaften: 0.
**** Trauungen nur im Stadttempel in der Seitenstettengasse. Von den Schulen und Kindergärten werden je 4 subventioniert und je 1 selbst erhalten.
***** Zahl der eingetragenen Mitglieder der Österreichischen Buddhistischen Religionsgesellschaft in Wien. Da es bei den BuddhistInnen keinen verpflichtenden Beitritt zur buddhistischen Religion als Voraussetzung für ein Bekenntnis gibt, ist die Zahl der bekennenden BuddhistInnen viel höher. 
;;;;;;;;;
