Glaubensangehörige nach Religionsbekenntnis und Gemeindebezirken 2017;;;;;
Gemeindebezirk;Religionsbekenntnis;;;;
;römisch-katholisch;altkatholisch;neuapostolisch *;Mormonen;buddhistisch **
Wien;610269;3752;726;1159;1614
1. Innere Stadt;6935;39;5;6;32
2. Leopoldstadt;29370;183;34;77;144
3. Landstraße;31553;127;29;55;93
4. Wieden;11146;66;9;23;56
5. Margareten;15433;78;21;23;64
6. Mariahilf;10153;35;18;17;45
7. Neubau;11121;33;8;20;56
8. Josefstadt;9522;49;8;5;42
9. Alsergrund;15120;54;7;34;49
10. Favoriten;49935;358;36;100;87
11. Simmering;30132;207;39;71;38
12. Meidling;27430;168;24;42;77
13. Hietzing;23952;156;23;23;70
14. Penzing;33181;217;62;37;96
15. Rudolfsheim-Fünfhaus;19847;110;36;39;56
16. Ottakring;28616;217;41;49;75
17. Hernals;18729;116;16;29;53
18. Währing;20093;127;21;31;71
19. Döbling;29590;213;19;59;74
20. Brigittenau;21677;144;15;57;55
21. Floridsdorf;57121;369;100;121;83
22. Donaustadt;69215;421;125;160;104
23. Liesing;40398;265;30;81;76
Quelle: Religionsgemeinschaften und Berechnung MA 23.;;;;;
* Stand 28. 6. 2019. 
** Für 2018 hatte die Österreichische Buddhistische Religionsgesellschaft (ÖBR) gemeldet, dass 1.614 Personen als Mitglieder der ÖBR registriert sind, wovon 18 keinem Gemeindebezirk zuzuordnen sind.
Die ÖBR schätzt aber, dass in Wien ca. 13.000 bekennende BuddhistInnen leben und teilte ausdrücklich mit, dass ein Beitritt zur Religionsgesellschaft keine Voraussetzung für ein tatsächliches Bekenntnis zum Buddhismus darstellt.;;;;;
