Religionsgemeinschaften in Wien 2022 – Islamische Glaubensgemeinschaft und christliche orthodoxe Kirchen;;;;;;;
Merkmal;Islamisch;Orthodoxe Kirchengemeinden;;;;;
;;"bulgarisch-
orthodox";"griechisch-
orthodox";"rumänisch-
orthodox";"russisch-
orthodox";"serbisch-
orthodox";
Glaubensangehörige insgesamt (1);;10000;24000;19147;12000;80000;
Taufen;–;33;79;270;101;710;
Übertritte (2);48;–;17;5;2;25;
Trauungen;10;4;14;44;8;75;
Kirchengemeinden (Pfarren);–;1;4;3;1;10;
Stätten der Religionsausübung;;2;3;4;2;4;
Geistliche;;2;11;8;12;18;
"Von der Glaubensgemeinschaft
erhaltene Bildungseinrichtungen";8;–;2;–;–;–;
Schulen (3);8;–;1;–;–;–;
Kindergärten;–;–;1;–;–;–;
Quelle: Islamische Glaubensgemeinschaft Österreich - Islamische Religionsgemeinde Wien, Bulgarisch-orthodoxe Kirchengemeinde Hl. Ivan Rilski, Griechisch-orientalische Metropolis von Austria, Rumänisch-orthodoxe Kirchengemeinde zur Hl. Auferstehung, Russisch-orthodoxe Kirchengemeinde zum Hl. Nikolaus, Serbische Orthodoxe Kirche - Diözese von Österreich und der Schweiz.;;;;;;;
"(1) Die Zahl der Glaubensangehörigen, außer bei der rumänisch-orthodoxen Kirchengemeinde, beruht auf Schätzung der jeweiligen Pfarrer. Von der Islamischen Glaubensgemeinschaft wurden seit 2017 keine detaillierten Angaben zur Zahl der Glaubensangehörigen gemacht_ nach deren Schätzung gibt es in Wien ca. 200.000 passive Mitglieder, über 100 Stätten der Religionsausübung und über 100 Geistliche. 
(2) Konversionen, d. h. Übertritt von einer Glaubensgemeinschaft in eine andere, und Reversionen, d. h. Rückkehr in die ursprüngliche Glaubensgemeinschaft nach einem Austritt aus derselben.
3) 2022 wurden von der Islamischen Glaubensgemeinschaft für den islamischen Religionsunterricht in den öffentlichen und konfessionellen Schulen 325 ReligionslehrerInnen, für den orthodoxen Religionsunterricht  von der russisch-orthodoxen Kirche 1 Religionslehrer und von der serbisch-orthodoxen Kirche 23 männliche und 30 weibliche ReligionslehrerInnen gestellt.";;;;;;;
