Religionsgemeinschaften in Wien 2022 – christliche und sonstige Kirchen;;;;;;;;;
Merkmal;Religionsbekenntnis;;;;;;;;
;christliche Kirchen;;;;;;;sonstige Kirchen;
;römisch-katholisch (1);altkatholisch;evangelisch A.B.;evangelisch H.B.;"evangelisch-
methodistisch";neuapostolisch;Mormonen (2);israelitisch (3);buddhistisch (4)
Glaubensangehörige insgesamt;557785;3177;40646;3938;573;596;1337;7917;1701
Männer;252780;1433;;;;269;699;3871;863
Frauen;305000;1744;;;;327;638;4046;838
Taufen;3323;10;388;34;7;3;16;397;8
Übertritte (Konversionen);21;;120;5;3;1;;4;20
Trauungen;322;;95;13;2;2;6;29;8
Pfarrgemeinden (Kirchengemeinden);134;4;21;3;3;3;4;1;–
Stätten der Religionsausübung;243;4;28;3;2;3;4;24;29
Geistliche;1379;6;42;5;4;37;227;23;16
Männer;796;4;17;3;3;37;;23;10
Frauen;583;2;25;2;1;–;;–;6
ReligionslehrerInnen;767;4;109;9;–;18;46;33;6
Männer;255;2;33;2;–;7;15;16;1
Frauen;512;2;76;7;–;11;31;17;5
"Von der Religionsgemeinschaft
erhaltene Bildungseinrichtungen";158;–;26;–;–;–;–;10;–
Schulen;36;–;11;–;–;–;–;5;–
Kindergärten;122;–;15;–;–;–;–;5;–
Quelle: Erzdiözese Wien – Matrikenreferat, Elektronisches Verwaltungsprogramm der Altkatholischen Kirche Österreichs, Evangelische Superintendentur A.B. – Diözese Wien, Evangelischer Oberkirchenrat H.B., Evangelisch-methodistische Kirche in Österreich, Neuapostolische Kirche Österreich, Kirche Jesu Christi der Heiligen der Letzten Tage – Österreichischer Kirchenvorstand, Israelitische Kultusgemeinde Wien – Mitgliederservice, Österreichische Buddhistische Religionsgesellschaft.;;;;;;;;;
"(1) Darunter 5 Glaubensangehörige mit unbekanntem Geschlecht. Seit 2022: Schulstandorte. 
(2) Kirche Jesu Christi der Heiligen der Letzten Tage. Als Geistliche werden alle Ältesten gezählt. Geistliche im Sinne der anderen Glaubensgemeinschaften: 0.
(3) Die höhere Zahl der Mitglieder gegenüber dem Vorjahr ergibt sich durch die Aufnahme zahlreicher jüdischer Flüchtlinge aus der Ukraine. Statt Taufen: Eintragungen bzw. Aufnahmen. Im Judentum ist ein Übertritt aus anderen Glaubensgemeinschaften unmöglich. Die angegebene Zahl waren Personen ohne Bekenntnis.
(4) Zahl der eingetragenen Mitglieder der Österreichischen Buddhistischen Religionsgesellschaft in Wien.";;;;;;;;;
