Katholikinnen und Katholiken nach Wohnbezirk und Geschlecht 2001, 2020 und 2021;;;;;;;;;;;
Gemeindebezirk;15, 5, 2001;;;31, 12, 2020;;;;31, 12, 2021;;;
;"römisch-
katholisch insgesamt";Geschlecht;;"römisch-
katholisch insgesamt";Geschlecht;;;"römisch-
katholisch insgesamt";Geschlecht;;
;;Männer;Frauen;;Männer;Frauen;unbek,;;Männer;Frauen;unbek,
Wien;762089;330828;431261;584434;264113;320243;78;570214;258060;312081;73
1, Innere Stadt;8749;3926;4823;6574;3227;3345;2;6410;3151;3257;2
2, Leopoldstadt;38438;16865;21573;28164;12895;15265;4;27236;12478;14754;4
3, Landstraße;39529;16984;22545;30234;13725;16505;4;29497;13367;16127;3
4, Wieden;13638;5829;7809;10782;4910;5870;2;10540;4807;5732;1
5, Margareten;20705;8882;11823;14290;6526;7763;1;13688;6281;7406;1
6, Mariahilf;13210;5742;7468;9609;4224;5385;–;9257;4105;5152;–
7, Neubau;12833;5480;7353;10467;4784;5682;1;10192;4644;5547;1
8, Josefstadt;11736;5284;6452;8882;4091;4791;–;8705;4020;4685;–
9, Alsergrund;18476;7863;10613;14511;6587;7924;–;14159;6493;7666;–
10, Favoriten;70810;30789;40021;47521;21451;26061;9;46103;20882;25213;8
11, Simmering;38808;17390;21418;28473;12846;15625;2;27672;12525;15145;2
12, Meidling;36807;15662;21145;25706;11550;14148;8;24959;11235;13718;6
13, Hietzing;28623;12035;16588;22999;10225;12770;4;22407;9979;12424;4
14, Penzing;40747;17563;23184;31938;14419;17516;3;31118;14020;17095;3
15, Rudolfsheim-Fünfhaus;26099;11240;14859;18612;8721;9889;2;17975;8382;9590;3
16, Ottakring;38021;16297;21724;26968;12296;14669;3;26072;11904;14164;4
17, Hernals;22562;9815;12747;17603;7981;9621;1;17100;7784;9314;2
18, Währing;23768;9981;13787;19322;8579;10743;–;18912;8382;10530;–
19, Döbling;35684;14840;20844;28762;12760;15998;4;28160;12474;15682;4
20, Brigittenau;32314;14081;18233;20180;9097;11081;2;19382;8758;10623;1
21, Floridsdorf;69146;30462;38684;55723;25153;30559;11;54777;24752;30016;9
22, Donaustadt;74596;33472;41124;67303;30323;36969;11;66413;29956;36446;11
23, Liesing;46790;20346;26444;39811;17743;22064;4;39480;17681;21795;4
Quelle: Statistik Austria – Volkszählung 2001 sowie Erzdiözese Wien – Matrikenreferat,;;;;;;;;;;;
