Glaubensangehörige nach Religionsbekenntnis und Gemeindebezirken 2021;;;;;
Gemeindebezirk;Religionsbekenntnis;;;;
;römisch-katholisch;altkatholisch;neuapostolisch (1);Mormonen;buddhistisch (2)
Wien;570214;3271;597;1331;1664
1, Innere Stadt;6410;34;2;10;32
2, Leopoldstadt;27236;163;23;95;142
3, Landstraße;29497;115;35;72;99
4, Wieden;10540;59;6;28;51
5, Margareten;13688;64;18;22;61
6, Mariahilf;9257;30;12;21;45
7, Neubau;10192;24;7;12;54
8, Josefstadt;8705;46;5;7;41
9, Alsergrund;14159;51;2;26;52
10, Favoriten;46103;308;39;116;91
11, Simmering;27672;181;28;71;44
12, Meidling;24959;141;13;58;71
13, Hietzing;22407;148;16;27;83
14, Penzing;31118;198;49;48;101
15, Rudolfsheim-Fünfhaus;17975;89;29;42;64
16, Ottakring;26072;168;27;46;72
17, Hernals;17100;95;15;29;49
18, Währing;18912;123;17;43;73
19, Döbling;28160;164;15;62;85
20, Brigittenau;19382;111;11;69;55
21, Floridsdorf;54777;345;83;148;87
22, Donaustadt;66413;391;116;193;125
23, Liesing;39480;223;29;86;74
Quelle: Religionsgemeinschaften und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;
"(1) Der große Unterschied der Mitgliederzahl gegenüber den früheren Jahren erklärt sich dadurch, dass zu den 3 Wiener Kirchengemeinden auch viele Mitglieder zählen, die im Umkreis von Wien wohnhaft sind, Durch Datenbereinigung sind jetzt nur diejenigen Mitglieder erfasst, die 2021 ihren Wohnsitz in Wien hatten,
(2) Darunter 13 Personen mit unbekanntem Wohnort, Für 2021 hatte die Österreichische Buddhistische Religionsgesellschaft (ÖBR) gemeldet, dass 1,664 Personen als Mitglieder registriert sind, Die ÖBR schätzt aber, dass in Wien ca, 13,000 bekennende BuddhistInnen leben und teilte mit, dass ein Beitritt zur Religionsgesellschaft keine Voraussetzung für ein tatsächliches Bekenntnis zum Buddhismus darstellt,";;;;;
