Religionsgemeinschaften in Wien 2021 – christliche und sonstige Kirchen;;;;;;;;;
Merkmal;Religionsbekenntnis;;;;;;;;
;christliche Kirchen;;;;;;;sonstige Kirchen;
;römisch-katholisch (1);altkatholisch (2);evangelisch A,B,;evangelisch H,B,;"evangelisch-
methodistisch";neuapostolisch;Mormonen (3);israelitisch;buddhistisch (4)
Glaubensangehörige insgesamt;570214;3271;42034;4052;509;597;1331;7758;1664
Männer;258060;1466;;;;268;668;;848
Frauen;312081;1742;;;;329;663;;816
Taufen;3164;7;292;33;6;5;13;182;7
Übertritte (Konversionen);539;;81;24;4;–;;7;11
Trauungen;300;;61;6;2;–;5;–;5
Pfarrgemeinden (Kirchengemeinden);133;4;21;3;3;3;8;1;–
Stätten der Religionsausübung;235;4;28;3;2;3;8;22;29
Geistliche;1521;5;42;5;4;38;225;23;15
Männer;878;4;18;3;3;38;;23;9
Frauen;643;1;24;2;1;–;;–;6
ReligionslehrerInnen;798;4;113;9;–;19;41;33;5
Männer;265;3;36;2;–;7;16;16;–
Frauen;533;1;77;7;–;12;25;17;5
"Von der Religionsgemeinschaft
erhaltene Bildungseinrichtungen";177;–;24;–;–;–;–;10;–
Schulen;48;–;11;–;–;–;–;5;–
Kindergärten;129;–;13;–;–;–;–;5;–
Quelle: Erzdiözese Wien – Matrikenreferat, Elektronisches Verwaltungsprogramm der Altkatholischen Kirche Österreichs, Evangelische Superintendentur A,B, – Diözese Wien, Evangelischer Oberkirchenrat H,B,, Evangelisch-methodistische Kirche in Österreich, Neuapostolische Kirche Österreich, Kirche Jesu Christi der Heiligen der Letzten Tage – Österreichischer Kirchenvorstand, Israelitische Kultusgemeinde Wien – Mitgliederservice, Österreichische Buddhistische Religionsgesellschaft,;;;;;;;;;
"(1) Darunter 73 Glaubensangehörige mit unbekanntem Geschlecht, Seit 2022: Schulstandorte, (2) Darunter 63 Personen mit unbekanntem Geschlecht,
(3) Kirche Jesu Christi der Heiligen der Letzten Tage, Als Geistliche werden alle Ältesten gezählt, Geistliche im Sinne der anderen Glaubensgemeinschaften: 0,
(4)  Zahl der eingetragenen Mitglieder der Österreichischen Buddhistischen Religionsgesellschaft in Wien,";;;;;;;;;
