Gesamtenergiebilanz in Wien seit 2009;;;;;;;
Bilanzschema;Berichtsjahr;;;;;;
;2009;2010;2011;2012;2013;2014;2015
;Terajoule;;;;;;
Bruttoinlandsverbrauch;;;;;;;
Insgesamt;159593,537435054;163393,641168934;157030,524365992;153054,839016633;151722,126528493;142193,577707212;149048,960702874
Inländische Erzeugung von Rohenergie;19013,6477347543;20022,6460744731;21352,620996941;21581,7542218693;19015,0221902949;18624,5603901485;21180,4279906008
+ Importe;142579,944682576;145615,98295616;137423,431694631;133052,018931174;134006,528129377;125143,502980988;129942,223644499
+/– Lager;–;–;–;–;–;–;–
– Exporte;2000,054208097;2244,98695965681;1745,52761525866;1578,93329026175;1299,42379117862;1574,48566392452;2073,69093222593
Energetischer Endverbrauch;;;;;;;
Insgesamt;135736,70837722;142290,598439982;134219,721267596;134295,597169399;137305,6911302;128390,540669544;132452,218414001
Bruttoinlandsverbrauch;159593,537435054;163393,641168934;157030,524365992;153054,839016633;151722,126528493;142193,577707212;149048,960702874
– Umwandlungseinsatz;65789,1879587638;68546,2734737503;64173,6632050759;54703,8479390319;48147,842871668;43663,7117998942;49981,2983701961
+ Umwandlungsausstoß;48776,6530558359;54327,7152486455;47840,0349619584;42151,9462700233;39354,5091464233;35476,18606083;39191,814342526
– Verbrauch des Sektors Energie;2472,1495282392;2430,50149722738;2237,21803652212;1947,84716120178;1364,92319875811;1599,94174502285;1863,52169654353
– Transportverluste;4248,46260951156;4339,45527871541;4123,62299270674;4151,98451229693;4155,32663662085;3910,93222790293;3840,61232850829
– Nichtenergetischer Verbrauch;123,682017155882;114,527727905289;116,333826049405;107,50850472654;102,851837669875;104,636243843359;103,12353824882
Quelle: Statistik Austria – Energiestatistik (Revision 2016).;;;;;;;
