StraÃƒÅ¸enverkehrsunfÃƒÂ¤lle und verunglÃƒÂ¼ckte Personen in Wien nach Geschlecht seit 2001;;;;;;;
Jahr *;VerkehrsunfÃƒÂ¤lle mit
Personenschaden;Verletzte Personen;;;GetÃƒÂ¶tete Personen;;
;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen
2001;5017;6382;3694;2688;41;23;18
2002;5282;6712;3822;2890;45;27;18
2003;5362;6817;3950;2867;45;32;13
2004;5562;6983;4009;2974;43;21;22
2005;5698;7120;4090;3030;34;21;13
2006;5328;6724;3859;2865;33;22;11
2007;5184;6568;3781;2787;35;22;13
2008;4852;6101;3537;2564;27;19;8
2009;4677;5950;3483;2467;32;25;7
2010;4449;5712;3289;2423;29;12;17
2011;4514;5668;3249;2419;22;15;7
2012;6348;7704;4311;3387;24;12;12
2013;5774;6974;3909;3065;17;14;3
2014;5802;7121;4061;3056;21;15;6
2015;5848;7069;4026;3037;13;10;3
2016;5863;7343;4168;3166;19;12;7
2017;5434;6697;3882;2811;20;10;10
2018;5200;6461;3647;2807;18;11;7
2019;5197;6437;3717;2714;12;9;3
Quelle: Statistik Austria   Ã¢â‚¬â€œ  Statistik der StraÃƒÅ¸enverkehrsunfÃƒÂ¤lle.;;;;;;;
* Ab 2012 geÃƒÂ¤nderte Erhebungsmethode; ein direkter Vergleich mit den Vorjahresergebnissen ist daher nicht zulÃƒÂ¤ssig. In den Jahren 2012, 2014, 2015,2016,2017,2018 und 2019 entspricht die Insgesamtzahl der verletzten Personen nicht der Summe aus verletzten MÃƒÂ¤nnern und verletzten Frauen, weil in einigen wenigen FÃƒÂ¤llen das Geschlecht im Unfallbericht nicht vermerkt wurde.;;;;;;;
