VerkehrsflÃƒÂ¤chen nach Gemeindebezirken 2019;;;;;
Gemeindebezirk;GemeindestraÃƒÅ¸en Ã¢â‚¬â€œ befestigte, ausgebaute FlÃƒÂ¤chen und Radverkehrsanlagen;;;;
;Fahrbahnen;Gehsteige und
Fahrbahnteiler;baulich gestaltete
FuÃƒÅ¸gÃƒÂ¤ngerzonen *;baulich getrennt
ausgebildete Radwege;LÃƒÂ¤nge der
Radverkehrsanlagen
;mÃ‚Â²;;;;m
Wien;23608358;11194811;360690;421647;1617479,045021
1. Innere Stadt;508060;363632;91204;8020;39411,689653
2. Leopoldstadt;1085246;545945;36478;50615;112092,115997
3. LandstraÃƒÅ¸e;924002;477911;6317;25855;64913,9480590001
4. Wieden;269898;146427;8860;7994;15232,099989
5. Margareten;385199;197440;7375;5240;26085,503066
6. Mariahilf;236643;146869;13690;4227;19294,724972
7. Neubau;209730;140958;12832;3301;18035,207167
8. Josefstadt;171688;104429;3907;2137;12107,688835
9. Alsergrund;482212;264021;6197;5184;41314,501411
10. Favoriten;1937651;975375;46811;51838;116834,817221
11. Simmering;1269166;546927;2420;23077;78494,8787299999
12. Meidling;926724;534576;21068;10482;58495,556778
13. Hietzing;1107313;519530;-;2268;63610,689525
14. Penzing;1393196;600606;2740;6800;89135,21311
15. Rudolfsheim-FÃƒÂ¼nfhaus;607815;320540;21316;2942;36697,349788
16. Ottakring;831254;466012;8962;5403;42788,533455
17. Hernals;650471;318110;4826;4500;36564,740511
18. WÃƒÂ¤hring;573905;313615;8167;3656;29897,488362
19. DÃƒÂ¶bling;1329879;613392;394;2461;61436,659387
20. Brigittenau;674440;358424;13871;19953;36552,180864
21. Floridsdorf;2464315;1096265;8889;67896;209610,88038
22. Donaustadt;3479743;1261900;27923;82633;309348,243066
23. Liesing;2089808;881907;6443;25165;99524,3346949999
Quelle: Stadt Wien StraÃƒÅ¸enverwaltung und StraÃƒÅ¸enbau und Stadt Wien Verkehrsorganisation und technische Verkehrsangelegenheiten.;;;;;
* GesamtflÃƒÂ¤che aller 98 gemÃƒÂ¤ÃƒÅ¸ StVO verordneten FuÃƒÅ¸gÃƒÂ¤ngerzonen in Wien: 311.694 mÃ‚Â².  Weiters gibt es 13 Begegungszonen mit einer LÃƒÂ¤nge von 4.162 m.;;;;;
