Stadtgebiet nach Nutzungsklassen und Gemeindebezirken 2020;;;;;;;
Gemeindebezirk;FlÃƒÂ¤chen basierend
auf rechtlichen
Bezirksgrenzen;Baulandnutzung;;;GrÃƒÂ¼nland-nutzung;GewÃƒÂ¤sser;Verkehr
;;GesamtflÃƒÂ¤che;darunterÃ¢â‚¬Â¦;;;;
;;;Wohn- und Mischnutzung - 
Schwerpunkt Wohnen;soziale u. techn. Infrastruktur;;;
;ha;;;;;;
Wien;41487,102493882;14916,4156244784;10586,7222223668;1839,23924866506;18660,0617167734;1909,04192606614;6001,5655892721
1. Innere Stadt;286,87738207;141,639214651723;65,8011717017;29,6562937705;27,2704686772771;3,08060566;114,887093081
2. Leopoldstadt;1924,19958207;434,495748754;282,0368975;113,428845519;674,755879735;403,528064828;411,419888753
3. LandstraÃƒÅ¸e;739,77422905;412,315151094449;219,360214061;81,2606235361;110,40955603155;0,471913885001;216,577608039
4. Wieden;177,52079701;114,369147480769;95,5495536359;12,1106579186;17,7248561808313;Ã¢â‚¬â€œ;45,4267933484
5. Margareten;201,1638691;129,341439736865;113,609656322;4,3659272048;8,78920814083498;Ã¢â‚¬â€œ;63,0332212223
6. Mariahilf;145,50436502;95,9895562890567;76,3209342327;7,92190677058;3,0038055244233;2,69303725582;43,8179659507
7. Neubau;160,82481161;116,76592695703;91,7923362555;14,8901989497;3,66946943507035;Ã¢â‚¬â€œ;40,3894152179
8. Josefstadt;108,9945694;76,2732850335776;66,382051831;4,63399853448;2,03951897492244;Ã¢â‚¬â€œ;30,6817653915
9. Alsergrund;296,73847495;179,685464576798;104,13284162;66,1046454717;22,1696452469017;Ã¢â‚¬â€œ;94,8833651263
10. Favoriten;3182,85524559;1109,2830316644;751,247824744;187,822948336;1439,9876841797;42,8152654399;590,769264306
11. Simmering;2325,63357097;849,5177454142;447,410193071;153,400243541;923,8743028482;46,3281748776;505,91334783
12. Meidling;810,3252271;488,09584127125;372,781664997;50,1581541881;101,41011661975;Ã¢â‚¬â€œ;220,819269209
13. Hietzing;3771,47611255;883,0257238185;726,95615008;133,813584514;2651,1942522923;15,1580240392;222,0981124
14. Penzing;3376,32606452;996,4974115462;813,289934225;118,951044895;2022,1747796885;45,4504118453;312,20346144
15. Rudolfsheim-FÃƒÂ¼nfhaus;391,8463303;218,650531600467;191,509673612;16,4746882329;33,6097915315925;3,77018238994;135,815824778
16. Ottakring;867,30481524;450,22084125145;385,42609847;46,8927159675;261,40002770155;Ã¢â‚¬â€œ;155,683946287
17. Hernals;1139,11993755;407,35047335062;382,207335199;13,6310323758;602,2636981335;3,72632005488;125,779446011
18. WÃƒÂ¤hring;634,72032735;356,26889267644;337,095569095;17,6443314905;171,22641259456;Ã¢â‚¬â€œ;107,225022079
19. DÃƒÂ¶bling;2494,38806973;905,9398564154;771,52280354;54,1842691749;1190,2167673476;110,561779469;287,669666498
20. Brigittenau;571,047418;205,13119976628;155,731027124;15,6005045909;50,90502371472;118,42818463;196,583009889
21. Floridsdorf;4444,32329003;1873,32018091;1246,4913656;261,961370594;1780,880582781;150,731573779;639,39095256
22. Donaustadt;10229,94799377;2740,439954281;1848,7412539;324,59574452;5608,737382685;919,393032427;961,377624377
23. Liesing;3206,17237361;1731,7990059379;1041,32567155;109,735518569;952,3484867086;42,9053554855;479,119525478
Quelle: Stadt Wien Stadtentwicklung und Stadtplanung Ã¢â‚¬â€œ Realnutzungskartierung 2018.;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;
