Zulassungen von fabriksneuen Kraftfahrzeugen und AnhÃƒÂ¤ngern in Wien seit 2001;;;;;;
Jahr;Kraftfahrzeuge;;;;;AnhÃƒÂ¤nger
;insgesamt;Pkw;Lkw;KraftrÃƒÂ¤der *;sonstige **;
2003;73593;60929;6295;5617;752;1668
2004;75101;61492;6927;5902;780;1752
2005;76317;61599;7545;6415;758;1755
2006;80824;65605;7435;6692;1092;1636
2007;78573;62116;8144;7482;831;1607
2008;80393;63473;8088;7856;976;1932
2009;81450;68147;5643;7072;588;1538
2010;83027;68902;6683;6818;624;1571
2011;87489;72595;7394;6944;556;1624
2012;82999;69046;6355;6927;671;1546
2013;81691;68331;6393;6218;749;1588
2014;80183;67256;6145;5968;814;1592
2015;83158;69764;7175;5448;771;1570
2016;86612;71969;7400;6312;931;1622
2017;93062;77992;7967;5853;1250;1804
2018;88989;73276;8932;5720;1061;1775
2019;86268;71706;7821;5594;1147;1763
Quelle: Statistik Austria Ã¢â‚¬â€œ Kfz-Neuzulassungen.;;;;;;
* Motor- und LeichtmotorrÃƒÂ¤der, MotorfahrrÃƒÂ¤der, Motordrei- und -vierrÃƒÂ¤der sowie mehrspurige (dreirÃƒÂ¤drige) KleinkraftrÃƒÂ¤der und vierrÃƒÂ¤drige Leichtkraftfahrzeuge.
** Omnibusse, Zugmaschinen, sonstige Kfz sowie selbstfahrende Arbeitsmaschinen.;;;;;;
