Arbeitslose Personen (inkl. SchulungsteilnehmerInnen) in Wien nach Altersgruppen und Geschlecht seit 2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altersgruppen;Berichtsjahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2008;;;2009;;;2010;;;2011;;;2012;;;2013;;;2014;;;2015;;;2016;;;2017;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen
Insgesamt;66486,8333333333;39601,3333333333;26885,5;73052;44431;28621;74179;44234;29946;79152,3333333333;46466,25;32686,0833333333;83016;49022;33994;90229,5833333333;53431,8333333333;36797,75;104404;61695;42708;124685;74241;50444;128375;75520;52855;155127,083333333;89521,4166666666;65605,6666666666
bis 19;2202,25;1178,58333333333;1023,66666666667;2436;1315;1121;2360;1299,5;1060;2405,16666666667;1324,66666666667;1080,5;2209;1221;988;2036,75;1156,91666666667;879,833333333333;2122,08333333333;1240;882;2288;1393;896;2166;1324;842;7785,49999999999;4994,24999999999;2791,24999999999
20–24;6830,91666666667;4155,41666666667;2675,5;8019;4930;3089;8007,08333333333;4835,91666666667;3171,16666666667;8775,91666666667;5247,91666666667;3528;9272;5546;3726;9935,41666666667;5978,25;3957,16666666667;11345,6666666667;6883;4463;12338;7621;4716;12135;7526;4609;17120,9166666667;10609,75;6511,16666666666
25–29;8378,58333333333;4805,33333333333;3573,25;9683;5671;4012;9394;5318,75;4075,75;10280,1666666667;5817,66666666667;4462,5;11025;6327;4698;12177,4166666667;7006,66666666667;5170,75;14122,8333333333;8065;6058;17279;10056;7223;17958;10417;7542;21023,75;12050,5833333333;8973,16666666666
30–34;8310,08333333333;4687;3623,08333333333;9339;5448;3892;9788;5558,41666666667;4230,08333333333;10519,75;5799,5;4720,25;11358;6264;5094;12372,1666666667;6876,33333333333;5495,83333333333;14333,1666666667;8046;6288;17312;9931;7382;17932;10182;7750;21112,1666666667;11685,0833333333;9427,08333333333
35–39;8784,66666666667;4840,08333333333;3944,58333333333;9366;5289;4077;9595,5;5284,08333333333;4311,41666666667;9937,75;5360,66666666667;4577,08333333333;10082;5535;4547;10775,5;5981;4794,5;12615,4166666667;7019;5596;15237;8556;6682;16075;8864;7211;19092,6666666667;10090;9002,66666666666
40–44;9355,33333333333;5433,5;3921,83333333333;9965;5946;4019;10039,9166666667;5804,75;4235,16666666667;10230,6666666667;5713,08333333333;4517,58333333333;10332;5726;4606;10925;6063,5;4861,5;12262,1666666667;6731;5532;14698;8100;6597;14982;8044;6938;16985,1666666667;8839,99999999999;8145,16666666666
45–49;8367,08333333333;5038,91666666667;3328,16666666667;9213;5690;3524;9483,33333333333;5792,91666666667;3690,41666666667;10101,4166666667;6078;4023,41666666667;10322;6222;4100;11078,4166666667;6573,16666666667;4505,25;12644,8333333333;7384;5261;15169;8746;6423;15290;8605;6685;16727,6666666667;9002,24999999999;7725,41666666666
50–54;6923,66666666667;4088,83333333333;2834,83333333333;7546;4610;2936;7935,66666666667;4762,91666666667;3172,75;8554,83333333333;5108,41666666667;3446,41666666667;9171;5564;3607;10180,1666666667;6211,41666666667;3968,75;12062,1666666667;7300;4762;14322;8655;5667;14656;8685;5972;15961,8333333333;9134,83333333332;6826,99999999999
55–59;5439,33333333333;3621,33333333333;1818;5526;3711;1815;5632,33333333333;3778,91666666667;1853,41666666667;6173,41666666667;4005;2168,41666666667;6808;4350;2457;7977,91666666667;5004,66666666667;2973,25;9552;5918;3635;11819;7239;4580;12487;7510;4977;14037,5;8194,08333333332;5843,41666666666
60+;1894,91666666667;1752,33333333333;142,583333333333;1957;1820;137;1942,33333333333;1797,33333333333;145;2173,25;2011,33333333333;161,916666666667;2437;2267;170;2770,83333333333;2579,91666666667;190,916666666667;3343,16666666667;3111;233;4223;3945;278;4692;4364;328;5279,91666666666;4920,58333333332;359,333333333317
Quelle: Arbeitsmarktservice Wien.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
