Unselbstständige Beschäftigung in Wien nach Altersgruppen und Geschlecht 2017;;;;;;
Altersgruppen;Insgesamt;;Unselbstständige Beschäftigungsverhältnisse;;;
;;;Geschlecht;;;
;;;Männer;;Frauen;
;absolut;%;absolut;%;absolut;%
Insgesamt;828940;100;423204;100;405736;100
bis 19;19954;2,40717060342124;11513;2,72043742497708;8441;2,0804168227616
20–24;62205;7,50416194175694;30161;7,12682299789227;32044;7,89774631780271
25–29;104367;12,5904166767197;52139;12,3200631373995;52228;12,8724096456809
30–34;107596;12,9799502979709;56168;13,272086275177;51428;12,6752370999862
35–39;103705;12,5105556493836;54295;12,8295101180518;49410;12,1778693534712
40–44;100878;12,1695176973002;50591;11,9542820956324;50287;12,3940197566891
45–49;112389;13,5581586122035;54963;12,9873536166955;57426;14,1535382613325
50–54;109437;13,2020411610008;53846;12,7234147125263;55591;13,7012737346452
55–59;79335;9,57065650107366;39975;9,44579918904358;39360;9,70088924818108
60+;29074;3,50737085916954;19553;4,62023043260461;9521;2,34659975944949
Quelle: Hauptverband der österreichischen Sozialversicherungsträger.;;;;;;
