Öffentlich Bedienstete im Magistrat der Stadt Wien nach Geschlecht seit 2014;;;;;;;;;
Jahr;Insgesamt;Beschäftigte zum 31. 12.;;;;;;;
;;Geschlecht;;Beamtinnen und Beamte;;;Vertragsbedienstete;;
;;Männer;Frauen;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;;;Männer;Frauen;;Männer;Frauen
2014;29478;12991;16487;11643;6300;5343;17835;6691;11144
2015;29843;13054;16789;11371;6178;5193;18472;6876;11596
2016;30219;13195;17024;10989;5974;5015;19230;7221;12009
2017;30222;13242;16980;10596;5761;4835;19626;7481;12145
2018;30681;13480;17201;10345;5674;4671;20336;7806;12530
2019;31093;13585;17508;9833;5373;4460;21260;8212;13048
2020;31866;13869;17997;9370;5120;4250;22496;8749;13747
2021;32487;14064;18423;8824;4845;3979;23663;9219;14444
2022;32882;14220;18662;8227;4548;3679;24655;9672;14983
2023;33260;14299;18961;7584;4218;3366;25676;10081;15595
Quelle: MD – Geschäftsbereich Personal und Revision.;;;;;;;;;
