Öffentlich Bedienstete des Landes und der Gemeinde außerhalb des Magistrats Wien nach Geschlecht seit 2012;;;;;;;;;
Jahr (1);Insgesamt;Geschlecht;;Beschäftigte zum 31. 12.;;;;;
;;;;Beamtinnen und Beamte;;;Vertragsbedienstete;;
;;Männer;Frauen;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;;;Männer;Frauen;;Männer;Frauen
Wiener Wohnen;;;;;;;;;
2012;698;412;286;417;246;171;281;166;115
2013;687;398;289;397;231;166;290;167;123
2014;699;392;307;389;220;169;310;172;138
2015;694;388;306;366;203;163;328;185;143
2016;713;394;319;354;192;162;359;202;157
2017;714;386;328;348;188;160;366;198;168
2018;702;372;330;336;175;161;366;197;169
2019;706;362;344;320;162;158;386;200;186
2020;739;384;355;305;155;150;434;229;205
2021;746;380;366;291;143;148;455;237;218
2022;749;381;368;274;135;139;475;246;229
2023;795;389;406;266;128;138;529;261;268
Wiener Krankenanstaltenverbund;;;;;;;;;
2012;29487;7873;21614;8296;2445;5851;21191;5428;15763
2013;29334;7892;21442;7946;2335;5611;21388;5557;15831
2014;29349;7959;21390;7588;2228;5360;21761;5731;16030
2015;29342;7977;21365;7269;2125;5144;22073;5852;16221
2016;29190;7934;21256;6929;2026;4903;22261;5908;16353
2017;29138;8067;21071;6585;1932;4653;22553;6135;16418
2018;28864;7855;21009;5936;1613;4323;22928;6242;16686
2019;29248;8010;21238;5583;1516;4067;23665;6494;17171
2020;29881;8214;21667;5248;1415;3833;24633;6799;17834
2021;29666;8281;21385;4793;1275;3518;24873;7006;17867
2022;29531;8247;21284;4352;1128;3224;25179;7119;18060
2023;29565;8277;21288;3881;979;2902;25684;7298;18386
Wien Kanal;;;;;;;;;
2012;574;534;40;382;360;22;192;174;18
2013;555;516;39;360;339;21;195;177;18
2014;544;502;42;335;314;21;209;188;21
2015;546;500;46;325;303;22;221;197;24
2016;539;494;45;317;294;23;222;200;22
2017;521;477;44;295;273;22;226;204;22
2018;518;468;50;279;256;23;239;212;27
2019;514;464;50;258;234;24;256;230;26
2020;506;457;49;237;215;22;269;242;27
2021;490;442;48;215;194;21;275;248;27
2022;492;442;50;194;175;19;298;267;31
2023;498;451;47;178;163;15;320;288;32
Wiener Stadtwerke;;;;;;;;;
2012;8742;7615;1127;5543;4907;636;3199;2708;491
2013;8341;7269;1072;5270;4670;600;3071;2599;472
2014;8014;6986;1028;5033;4461;572;2981;2525;456
2015;7771;6765;1006;4863;4302;561;2908;2463;445
2016;7143;6235;908;4333;3846;487;2810;2389;421
2017;6578;5730;848;3904;3455;449;2674;2275;399
2018;6060;5285;775;3485;3086;399;2575;2199;376
2019;5778;5038;740;3277;2897;380;2501;2141;360
2020;5466;4768;698;3062;2710;352;2404;2058;346
2021;4987;4344;643;2711;2394;317;2276;1950;326
2022;4580;4001;579;2431;2153;278;2149;1848;301
2023;4175;3641;534;2135;1888;247;2040;1753;287
Landeslehrerinnen und Landeslehrer;;;;;;;;;
2012;12401;2116;10285;6066;765;5301;6335;1351;4984
2013;12622;2211;10411;5646;697;4949;6976;1514;5462
2014;13010;2266;10744;5447;660;4787;7563;1606;5957
2015;13425;2358;11067;5325;639;4686;8100;1719;6381
2016;13863;2455;11408;5089;605;4484;8774;1850;6924
2017;14580;2580;12000;4857;576;4281;9723;2004;7719
2018;14440;2625;11815;4512;520;3992;9928;2105;7823
2019;14566;2711;11855;4221;488;3733;10345;2223;8122
2020;15067;2835;12232;3856;441;3415;11211;2394;8817
2021;15309;2941;12368;3501;402;3099;11808;2539;9269
2022;15785;3087;12698;3171;355;2816;12614;2732;9882
2023;15912;2895;13017;2787;283;2504;13125;2612;10513
Quelle: Stadt Wien Personalservice und MD – Geschäftsbereich Personal und Revision.;;;;;;;;;
(1) Außerdem waren in den ausgelagerten Bereichen (ASFINAG, Fonds Soziales Wien, Gesundheitsförderung, Konservatorium Wien GmbH, Wien Museum und Sucht- und Drogenkoordination) folgende Bedienstete der Stadt Wien tätig: 2017: 490, 2018: 455, 2019: 424, 2020: 392, 2021: 364, 2022: 324 und 2023: 298.;;;;;;;;;
