Gesamtenergiebilanz in Wien seit 2016;;;;;;;
Bilanzschema;Berichtsjahr;;;;;;
;2016;2017;2018;2019;2020,0;2021;2022,0
;Terajoule;;;;;;
Bruttoinlandsverbrauch;;;;;;;
Insgesamt;152810,34998623084;155953,4676208527;152469,83272271577;152975,10896201554;143858,52016972128;147914,30455186192;138539,90580999196
Inländische Erzeugung von Rohenergie;21314,89546725835;20661,48482919066;19940,745709342344;20079,969127334985;19971,983947016884;20938,223024911258;19968,7883758738
+ Importe;133893,54761994144;137518,3772245609;134653,22680852274;135526,0293983498;126637,73239629186;128833,6210101587;120677,7041525082
± Lager;–;–;–;–;-247,09686540090084;650,8156456269456;343,08019489791155
– Exporte;2398,093100968964;2226,394432898875;2124,1397951493086;2630,8895636692605;2504,0993081865663;2508,3551288349863;2449,66691328794
Energetischer Endverbrauch;;;;;;;
Insgesamt;135159,38890456292;136587,60494783084;134042,17798935145;132700,37228108585;125537,30201559092;130857,10804229841;120388,5503227429
Bruttoinlandsverbrauch;152810,34998623084;155953,4676208527;152469,83272271577;152975,10896201554;143858,52016972128;147914,30455186192;138539,90580999196
– Umwandlungseinsatz;52905,483135560055;56494,615076320704;54899,51142027872;60944,93955567016;58867,8758517988;58687,81827480928;58821,222299890105
+ Umwandlungsausstoß;41716,5259994958;43419,68399616456;42975,16430523139;47152,450178729705;46621,57777534345;47479,65370450591;45820,66080647948
– Verbrauch des Sektors Energie;2317,223066657143;2225,851066052758;2434,8336280927556;2536,8222128400025;2125,727996423577;1745,2478126938993;1633,3945373782256
– Transportverluste;4019,7135765188086;3945,576173120575;3941,3018420319645;3780,239566754841;3794,33967848632;3940,7791791277605;3381,1834977519666
– Nichtenergetischer Verbrauch;125,06730242766486;119,50435369235004;127,17214856948706;165,185524394424;154,85240276511396;163,0049474384714;136,21595870827701
Quelle: Statistik Austria – Energiestatistik (Revision 2022).;;;;;;;
