Einnahmeerfolg und Abgabenertragsanteile Wiens als Land und Gemeinde nach Abgabenart 2023;;;;;
Abgabenart;Einnahmeerfolg (1);;Ertragsanteile Wiens;;
;in Wien;in Österreich;insgesamt;als Land;als Gemeinde
;;;;;
;Mio. EUR;;;;
Insgesamt;;;7712,874126999999;4284,832863;3428,041264
Einkommen- und Vermögensteuer;;;4243,462367693786;2447,2880964561714;1796,1742712376151
Veranlagte Einkommensteuer;;;348,2182855048907;200,87037607745216;147,34790942743854
Lohnsteuer;;;2531,343156512432;1460,2100837194423;1071,1330727929899
Kapitalertragsteuer;;;266,0884528497156;153,49362689639423;112,5948259533214
Kapitalertragsteuer auf Zinsen;;;91,44211790640998;52,74855852715212;38,693559379257856
Körperschaftsteuer;;;987,3095342339774;569,5313707000828;417,7781635338946
Übrige Steuern;;;19,06082068636078;10,43408053564802;8,626740150712761
Sonstige Steuern;;;3468,124527126222;1836,802224621805;1631,322302504417
Umsatzsteuer;;;2320,093262811878;1330,62925238437;989,4640104275079
Mineralölsteuer;;;298,3297188548869;172,09206212296988;126,23765673191703
Grunderwerbsteuer;;;272,77953917738625;1,6083631018964006;271,1711760754899
Motorbezogene Versicherungssteuer;;;204,62276831754545;118,03703061244735;86,5857377050981
Tabaksteuer;;;154,86541074680946;89,33440486330753;65,53100588350192
Übrige Steuern;;;217,4338272177162;125,10111153681422;92,332715680902
Kunstförderungsbeitrag;;;1,287232016547607;0,7425422214343289;0,5446897951132781
Quelle: Bundesrechenzentrum.;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;
(1) Daten ab dem Jahr 2017 nicht mehr verfügbar.;;;;;
