Meldepflichtige Infektionskrankheiten - Erkrankungen in Wien seit 2005;;;;;;;;;;
Art der Infektion;Meldepflichtige Infektionskrankheiten - Erkrankte;;;;;;;;;
;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Wien;3214;3155;3003;3233;3578;3363;3031;60772;163933;1031914
Bakterielle Infektionen;1870;2063;1793;2048;2328;2351;2284;1312;1484;1876
Scharlach *;163;102;5;1;2;1;–;37;13;55
Bakterielle Lebensmittelvergiftungen;1547;1762;1609;1849;1968;2099;1934;1213;1380;1614
Salmonella-Infektionen;291;426;348;365;412;385;447;162;243;308
Campylobacter-Infektionen;1185;1266;1197;1408;1510;1653;1431;955;1070;1224
Yersinia-Infektionen;31;17;21;19;16;30;29;38;45;34
Shigellen-Infektionen (bakterielle Ruhr);23;32;27;21;15;21;22;9;15;40
Andere Infektionen;17;21;16;36;15;10;5;49;7;8
Typhus abdominalis;6;3;1;5;3;6;7;–;3;5
Paratyphus;1;5;2;4;–;3;1;–;–;3
Tularaemie (Hasenpest);–;–;1;–;1;–;–;2;2;4
Keuchhusten;16;32;11;36;105;162;145;–;8;4
Bruzellose;–;–;1;2;2;1;2;1;3;1
Leptospiren-Erkrankungen;–;–;–;1;36;11;3;2;2;–
Legionellen;27;36;39;33;38;60;41;45;59;53
Bakterielle Meningitis/Sepsis;110;123;124;117;173;8;151;12;14;137
Virale Infektionen;1328;1068;1184;1146;1216;985;721;59438;162423;1029765
A/H1N1-Virus (Neue Influenza A) **;–;–;–;–;–;–;–;58610;161789;1029117
Encephalitiden;9;11;6;9;6;6;16;1;1;4
Hepatitis infectiosa ***;1305;1033;1119;1129;1177;934;670;819;633;644
Masern;13;23;59;7;9;45;34;8;–;–
Röteln;1;1;–;1;24;–;1;–;–;–
Protozoenerkrankungen;16;24;24;34;30;25;24;16;21;29
Malaria;11;20;23;31;30;25;24;12;16;27
Amöbenruhr;5;4;1;3;–;–;–;4;5;2
Prionen-Infektion;–;–;2;5;4;2;2;6;5;244
Creutzfeldt-Jakob-Erkrankung ****;–;–;2;5;4;2;2;6;5;1
Mpox (2);–;–;–;–;–;–;–;–;–;243
Quelle: Stadt Wien Gesundheitsdienst (Epidemievorsorge und Impfwesen) der Stadt Wien.;;;;;;;;;;
"(*) ab 2015: Nur labordiagnostisch bestätigte Fälle.
(**) 2021: darunter 11 Hepatitis-A-, 348 Hepatitis-B- (akute und chronische Form), 261 Hepatitis-C- (akute und chronische Form), 5 Hepatitis-D-, 8 Hepatitis-E-Erkrankungen und keine Hepatitis non A-E-Erkrankungen.";;;;;;;;;;
;;;;;;;;;;
