Ispruchnahme von Vorsorgeuntersuchungen (Bevölkerung ab 18 Jahren) in Wien nach Altersgruppen und Geschlecht 2022;;;;;;;;
Altersgruppe;Allgemeines Untersuchungsprogramm;;;;;;"Gynäkologisches
Untersuchungsprogramm";
;insgesamt;;Männer;;Frauen;;;
;absolut;"Anteil an
Bevölkerung (in %)";absolut;"Anteil an männlicher
Bevölkerung (in %)";absolut;"Anteil an weiblicher
Bevölkerung (in %)";absolut;"Anteil an weiblicher
Bevölkerung (in %)"
Insgesamt;383039;17,5;127444;16,3;255595;18,6;99835;11,9
18–24;32844;13,2;9761;11,5;23083;14,9;10458;12,4
25–29;42318;17,7;12491;15,4;29827;20;13807;17,2
30–34;45336;19,3;14511;17,2;30825;21,4;13457;16,6
35–39;40434;19,2;13466;17,5;26968;21;11217;15
40–44;37037;19,6;12274;17,7;24763;21,5;9926;14,4
45–49;33466;19,4;10969;17,4;22497;21,2;8682;13,3
50–54;34859;19,3;12009;17,9;22850;20,6;8505;12,2
55–59;32282;18,6;12005;17,9;20277;19,3;7154;10,5
60–64;26114;18,3;9820;17,9;16294;18,6;5527;9,6
65–69;19598;17,7;6774;17,1;12824;18,1;4183;8,8
70–74;15192;15,9;5433;16,3;9759;15,7;3051;7,1
75+;23559;12,4;7931;12,8;15628;12,1;3868;4
Quelle: Hauptverband der österreichischen Sozialversicherungsträger, Statistik Austria und Berechnungen der Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;
