P0003a;;;;;;
Krankestalten in Wien 2022;;;;;;
"Krankestalt
(Gemeindebezirk)";"Systematisierte
Betten";"Tatsächlich
aufgestellte Betten";"Ärztinnen
und Ärzte";"Personen in
nicht ärztlichen
Gesundheitsberufen";"Stationäre
Patientinnen
und Patienten";"Ø Belagsdauer
in Tagen"
Wien (1);15035;13208;6918;23413;476810;7,769952391938088
Gemeinnützige Krankestalten in städtischer Verwaltung;;;;;;
Insgesamt;9706;8330;4817;16428;229677;10,8
Spitäler;7212;6007;4701;14276;227196;7,6
Allgemeines Krankenhaus der Stadt Wien (9.);1710;1440;1284;4704;60179;7,1
WGV Klinik Landstraße (3.);667;600;441;1276;21931;6,9
WGV Klinik Favoriten (10.) (2);781;629;483;1296;25031;7,6
WGV Klinik Hietzing (13.);938;759;541;1444;25465;7,8
WGV Klinik Penzing (14.) (3);394;341;177;726;6930;13,5
WGV Klinik Ottakring (16.);993;750;612;1743;28132;7,7
WGV Klinik Floridsdorf (21.) (4);748;646;509;1343;23475;8,1
WGV Klinik Donaustadt (22.);981;842;654;1744;36053;6,9
Pflegewohnhäuser (5);2494;2323;116;2152;2481;310,5
WGV Pflegewohnhaus Leopoldstadt (2.);306;276;11;242;337;253,5
WGV Pflegewohnhaus Innerfavoriten (10.);266;236;11;206;225;367,1
WGV Pflegewohnhaus Simmering (11.);348;335;12;279;321;341,1
WGV Pflegewohnhaus Meidling (12.);256;228;8;210;224;337,6
WGV Pflegewohnhaus Baumgarten (14.);290;286;27;309;498;192,7
WGV Pflegewohnhaus Rudolfsheim (15.);324;305;15;263;334;313
WGV Pflegewohnhaus Donaustadt (22.);382;339;19;396;263;416,9
WGV Pflegewohnhaus Liesing (23.);322;318;13;247;279;383,8
Quelle: Bundesministerium für Soziales, Gesundheit und Konsumentenschutz.;;;;;;
Anmerkungen: Als Krankestalt der Stadt Wien gilt weiters das Therapiezentrum Ybbs - Psychiatrisches Krankenhaus, welches jedoch in dieser Tabelle nicht angeführt wird, da es sich nicht in Wien befindet. Die Fußnoten zu dieser Tabelle befinden sich unter Tabelle 6.1.3.;;;;;;
P0003b;;;;;;
Krankestalten in Wien 2022 – Fortsetzung;;;;;;
"Krankestalt
(Gemeindebezirk)";"Systematisierte
Betten";"Tatsächlich
aufgestellte Betten";"Ärztinnen
und Ärzte";"Personen in
nicht ärztlichen
Gesundheitsberufen";"Stationäre
Patientinnen
und Patienten";"Ø Belagsdauer
in Tagen"
Gemeinnützige Krankestalten in sonstiger Verwaltung;;;;;;
Insgesamt;4228;3859;1839;5677;189761;5,394875659382064
Anton Proksch Institut (23.);242;242;23;62;1696;40,1
Rehaklinik Wien Baumgarten (14.);222;222;18;94;3121;23,2
Evangelisches Krankenhaus Wien (18.);268;226;110;295;14676;3,3
Franziskus Spital (3., 5.) (6);251;240;100;345;14322;4,5
Hanusch-Krankenhaus (14.);447;320;348;863;36012;2,3
Haus der Barmherzigkeit Seeböckgasse (16.) (5);350;350;17;309;340;362,5
Haus der Barmherzigkeit Tokiostraße (22.) (5);270;270;13;228;274;330,5
Herz-Jesu Krankenhaus (3.);169;162;122;285;12842;3,5
Krankenhaus der Barmherzigen Brüder (2.);407;383;230;562;28568;2,6
Krankenhaus der Barmherzigen Schwestern (6.);210;195;123;310;14412;3,5
Krankenhaus Göttlicher Heiland (17.);268;257;160;385;10956;6,5
Neurologisches Rehabilitationszentrum Rosenhügel (13.);147;147;16;124;1709;28,7
Orthopädisches Spital Speising (13.);280;222;164;422;13168;4,1
AUVA-Rehabilitationszentrum Meidling (12.);52;41;16;121;264;41,3
St. Anna Kinderspital (9.);122;119;78;249;9218;1,8
St. Josef Krankenhaus (13.);221;175;144;388;17198;2,8
AUVA-Traumazentrum Wien (12., 20.) (7);302;288;157;635;10985;5,1
Nicht gemeinnützige Krankestalten;;;;;;
Insgesamt;1101;1019;262;1308;57372;3,3785470264240396
Goldenes Kreuz Privatklinik (9.);131;94;22;112;6103;2,4
Heeresspital Wien (21.);27;25;31;52;295;3,9
Kuzbari Zentrum für Ästhetische Medizin (1.);9;9;7;24;1158;0,9
Privatklinik Confraternität (8.);96;96;12;89;6818;1,9
Privatklinik Döbling (19.);160;160;40;277;16115;2,6
Privatklinik Währing (18.);20;20;4;12;2015;0,6
Rudolfinerhaus Privatklinik (19.);155;155;20;260;10898;3,2
