Meldepflichtige Infektionskrankheiten – Sterbefälle in Wien seit 2012;;;;;;;;;;;
Krankheit;Meldepflichtige Infektionskrankheiten – Sterbefälle;;;;;;;;;;
;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Wien;31;78;68;43;34;56;27;44;1379;1963;1083
Bakterielle Infektionen;23;33;47;26;21;23;13;30;15;39;35
Scharlach;–;–;–;–;–;–;–;–;–;–;–
Bakterielle Lebensmittelvergiftungen;1;7;23;8;7;5;5;6;3;21;–
Salmonella-Infektionen;1;2;1;–;4;1;1;–;–;–;–
Campylobacter-Infektionen;–;2;2;3;2;4;3;2;2;–;–
Yersinia-Infektionen;–;–;–;–;–;–;–;–;–;–;–
Shigellen-Infektionen (bakterielle Ruhr);–;–;–;–;–;–;–;–;–;–;–
Andere Infektionen (1);–;3;20;5;1;–;1;4;1;21;8
Typhus abdominalis;–;–;–;–;–;–;–;–;–;–;–
Paratyphus;–;–;–;–;–;–;–;–;–;–;–
Tularaemie (Hasenpest);–;–;–;–;–;–;–;–;–;–;–
Keuchhusten;–;–;–;–;–;3;1;–;–;–;–
Bruzellose;–;–;–;–;–;–;–;–;–;–;–
Leptospiren-Erkrankungen;–;–;–;–;–;1;–;–;–;–;–
Legionellen;3;5;5;2;3;10;4;1;2;7;4
Bakterielle Meningitis/Sepsis;19;21;19;16;11;4;3;17;10;11;23
Virale Infektionen;4;45;18;14;8;18;12;12;1360;1921;1047
Neuartiges Coronavirus (2019-nCOV);–;–;–;–;–;–;–;–;1357;1913;1038
Encephalitiden;–;–;–;–;–;–;–;–;–;–;–
Hepatitis infectiosa (2);4;45;18;14;8;18;12;12;3;8;9
Masern;–;–;–;–;–;–;–;–;–;–;–
Röteln;–;–;–;–;–;–;–;–;–;–;–
Protozoenerkrankungen;–;–;–;1;–;1;–;–;–;–;–
Malaria;–;–;–;1;–;1;–;–;–;–;–
Amöbenruhr;–;–;–;–;–;–;–;–;–;–;–
Prionen-Infektion;4;–;3;2;5;14;2;2;4;3;1
Creutzfeldt-Jakob-Erkrankung;4;–;3;2;5;14;2;2;4;3;1
Quelle: Stadt Wien Gesundheitsdienst (Epidemievorsorge und Impfwesen) der Stadt Wien.;;;;;;;;;;;
"(1) 2021: Andere Infektionen: Pneumokokken Erkrankung, invasiv: 9_ Staphylokokkus aureus: 3_ Haemophilus influenzae: 1_ Clostridium difficile: 8. 
(2) 2021: Hepatitis infectiosa Hepatitis B: 2_ Hepatitis C: 6.";;;;;;;;;;;
;;;;;;;;;;;
