Ispruchnahme von Vorsorgeuntersuchungen (Bevölkerung ab 18 Jahren) in Wien nach Geschlecht seit 1999;;;;;;;;
Jahr;Allgemeines Untersuchungsprogramm;;;;;;"Gynäkologisches
Untersuchungs-
programm";
;insgesamt;;Männer;;Frauen;;;
;absolut;Anteil an Bevölkerung (in %);absolut;Anteil an männlicher Bevölkerung (in %);absolut;Anteil an weiblicher Bevölkerung (in %);absolut;Anteil an weiblicher Bevölkerung (in %)
1999;97969;7,69294796743754;45021;7,690980467188497;52948;7,694621699507496;3690;0,5362460163024602
2000;102149;7,987629414156578;47003;7,964261387319673;55146;8,007655380111695;3422;0,4969027075534439
2001;112207;8,707957816379096;50654;8,477628526766438;61553;8,907105801998394;3630;0,5252838051964026
2002;123038;9,428697762563692;56909;9,356601115051552;66129;9,491637816703697;3506;0,503223732180483
2003;133314;10,1095707789012;61475;9,976355348121654;71839;10,22642508583825;3701;0,5268447395243165
2004;142427;10,67937651462437;63869;10,2304162228398;78558;11,0745052928066;4364;0,6152033032639327
2005;137713;10,18657348471455;62743;9,886049582297348;74970;10,45249531192271;3949;0,5505789514043319
2006;154148;11,28849415465914;71629;11,15650475517026;82519;11,40562326708998;4285;0,5922647596248207
2007;171333;12,467636233447;79565;12,3084086704165;91768;12,60906245448575;3924;0,5391635545222961
2008;182897;13,21721170793891;84132;12,91524924165203;98765;13,4857987091101;4045;0,5523217311633711
2009;168563;12,10265534252791;77025;11,7377867585879;91538;12,42772172916641;18057;2,451521458449583
2010;173686;12,38255409159836;79625;12,0389115765569;94061;12,68916858904313;27870;3,75976364887288
2011;181540;12,83918206616486;83004;12,43399440047816;98536;13,20157128387612;35260;4,724033890856864
2012;192317;13,44005691427357;87363;12,90700508964121;104954;13,91853953072638;41017;5,43949478754315
2013;197726;13,59332096781069;89439;12,96850780743639;108287;14,1566623394111;44003;5,752635246346345
2014;199241;13,4774100287283;90659;12,90172466055396;108582;13,99894797097637;56081;7,230249960033211
2015;200912;13,16480247423221;92041;12,59383013017862;108871;13,68950619146775;73492;9,240929072235467
2016;214793;14;98540;13,4;116253;14,5;82378;10,3
2017;224509;14,4;102459;13,7;122050;15,1;85850;10,6
2018;236056;15,1;107770;14,3;128286;15,8;84933;10,5
2019;256371;16,3;115787;15,3;140584;17,2;88835;10,9
2020;220750;13,9;98342;12,8;122408;14,9;84475;10,3
2021;271935;17,1;121913;15,8;150022;18,2;97655;11,9
2022;383039;17,5;127444;16,3;255595;18,6;99835;11,9
Quelle: Hauptverband der österreichischen Sozialversicherungsträger, Statistik Austria und Berechnungen der Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;
;;;;;;;;
;;;;;;;;
