Niedergelassene Ärztinnen und Ärzte sowie Apotheken nach Gemeindebezirken 2022;;;;;;;;;
Gemeindebezirk;Niedergelassene Ärztinnen und Ärzte;;;;;;;;Öffentliche Apotheken
;FachärztInnen;FachärztInnen darunter für…;;;;;"Allgemein-
mediziner-
Innen";"Zahn-
ärztInnen";
;;Innere Medizin;"Frauen-
heilkunde";Chirurgie;Orthopädie;Haut- und Geschlechtskrankheiten;;;
Wien;4241;673;373;262;302;268;1458;935;335
1. Innere Stadt;413;57;42;20;26;34;94;92;21
2. Leopoldstadt;164;23;16;13;10;9;79;40;21
3. Landstraße;216;41;15;13;15;12;79;63;16
4. Wieden;125;23;10;1;12;4;38;32;7
5. Margareten;101;13;4;8;10;7;41;24;9
6. Mariahilf;139;25;15;10;8;12;42;32;7
7. Neubau;119;11;10;3;10;11;49;26;9
8. Josefstadt;277;54;31;15;23;13;50;31;5
9. Alsergrund;474;93;34;37;21;26;60;68;13
10. Favoriten;123;18;16;3;14;14;94;56;29
11. Simmering;58;4;5;2;3;4;42;24;12
12. Meidling;103;11;14;6;10;7;72;44;16
13. Hietzing;266;52;14;16;23;16;83;30;8
14. Penzing;132;21;11;6;12;4;63;43;15
15. Rudolfsheim-Fünfhaus;75;12;9;8;5;4;41;27;14
16. Ottakring;99;18;13;7;6;6;63;34;15
17. Hernals;144;13;9;12;8;9;36;25;11
18. Währing;280;45;22;23;12;21;74;35;11
19. Döbling;406;66;35;27;28;17;72;49;12
20. Brigittenau;71;11;5;6;3;5;43;27;12
21. Floridsdorf;129;11;12;9;10;8;75;47;27
22. Donaustadt;196;24;19;12;16;15;95;56;25
23. Liesing;131;27;12;5;17;10;73;30;20
Quelle: Ärztekammer für Wien, Landeszahnärztekammer für Wien und Österreichische Apothekerkammer.;;;;;;;;;
Anmerkung: Stand zum 31. 12.;;;;;;;;;
