Lebendgeborene, Totgeborene und gestorbene Säuglinge in Wien nach Geschlecht und Geburtsgewicht 2023;;;;;;;;;;;
Geburtsgewicht in Gramm;Lebendgeborene;;;Totgeborene;;;Gestorbene Säuglinge;;;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;;
;;Buben;Mädchen;;Buben;Mädchen;;Buben;Mädchen;;
Wien;18072;9318;8754;84;38;46;81;49;32;;
unter 500;33;21;12;–;–;–;31;19;12;;
500–799;35;23;12;23;11;12;12;9;3;;
800–999;38;16;22;8;4;4;2;1;1;;
1.000–1.499;113;62;51;18;9;9;4;2;2;;
1.500–1.999;219;101;118;9;1;8;3;2;1;;
2.000–2.499;684;316;368;11;6;5;5;2;3;;
2.500–2.999;2850;1199;1651;5;1;4;8;4;4;;
3.000–3.499;6877;3360;3517;4;3;1;12;7;5;;
3.500–3.999;5475;3081;2394;3;1;2;1;–;1;;
4.000–4.499;1441;946;495;1;1;–;2;2;–;;
4.500–4.999;133;96;37;1;–;1;1;1;–;;
5.000 und mehr;174;97;77;1;1;–;–;–;–;;
Quelle: Statistik Austria – Statistik der natürlichen Bevölkerungsbewegung, Todesursachenstatistik, Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;9847;;;;;;;;;;
;23;;;;;;;;;;
;;;;;;;;;;;
