Niedergelassene Ärztinnen und Ärzte sowie Apotheken nach Gemeindebezirken 2023;;;;;;;;;
Gemeindebezirk;Niedergelassene Ärztinnen und Ärzte;;;;;;;;Öffentliche Apotheken
;FachärztInnen;FachärztInnen darunter für…;;;;;"Allgemein-
mediziner-
Innen";"Zahn-
ärztInnen";
;;Innere Medizin;"Frauen-
heilkunde";Chirurgie;Orthopädie;Haut- und Geschlechtskrankheiten;;;
Wien;4385;685;385;273;295;276;1447;936;338
1. Innere Stadt;416;59;43;27;25;32;93;101;21
2. Leopoldstadt;170;27;14;12;10;9;83;44;23
3. Landstraße;218;39;16;14;12;14;78;67;17
4. Wieden;130;23;11;1;11;4;37;28;7
5. Margareten;104;15;4;9;10;7;38;23;9
6. Mariahilf;145;26;16;9;8;13;40;32;7
7. Neubau;125;12;9;3;8;10;49;27;9
8. Josefstadt;284;59;33;14;24;14;53;28;5
9. Alsergrund;482;89;42;35;22;28;62;68;13
10. Favoriten;132;17;14;6;14;15;95;56;29
11. Simmering;60;4;5;2;4;6;40;25;12
12. Meidling;102;12;12;5;9;7;68;42;16
13. Hietzing;278;55;14;15;22;18;82;29;8
14. Penzing;149;22;12;7;12;6;62;41;15
15. Rudolfsheim-Fünfhaus;79;15;9;8;5;4;42;27;14
16. Ottakring;99;18;12;7;5;5;60;34;15
17. Hernals;149;16;9;12;8;8;37;25;11
18. Währing;282;43;22;26;13;18;69;36;11
19. Döbling;425;63;35;28;28;17;81;47;12
20. Brigittenau;73;11;5;6;3;5;41;24;12
21. Floridsdorf;136;13;12;9;10;10;75;47;27
22. Donaustadt;213;24;21;12;15;16;91;56;25
23. Liesing;134;23;15;6;17;10;71;29;20
Quelle: Ärztekammer für Wien, Landeszahnärztekammer für Wien und Österreichische Apothekerkammer.;;;;;;;;;
Anmerkung: Stand zum 31. 12.;;;;;;;;;
