Meldepflichtige Infektionskrankheiten – Sterbefälle in Wien seit 2005;;;;;;;;;;;;;;;;;;;
Krankheit;Meldepflichtige Infektionskrankheiten – Sterbefälle;;;;;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Wien;10;8;8;17;15;23;31;31;78;68;43;34;56;27;38;1379;1963;1083;183
Bakterielle Infektionen;6;6;6;15;11;20;27;23;33;47;26;21;23;13;24;15;39;35;8
Scharlach;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Bakterielle Lebensmittelvergiftungen;1;–;1;3;3;2;3;1;7;23;8;7;5;5;6;3;21;8;0
Salmonella-Infektionen;1;–;–;2;1;–;1;1;2;1;–;4;1;1;–;–;–;–;–
Campylobacter-Infektionen;–;–;–;–;2;–;1;–;2;2;3;2;4;3;2;2;–;–;–
Yersinia-Infektionen;–;–;–;–;–;–;1;–;–;–;–;–;–;–;–;–;–;–;–
Shigellen-Infektionen (bakterielle Ruhr);–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Andere Infektionen;–;–;1;1;–;2;–;–;3;20;5;1;–;1;4;1;21;8;–
Typhus abdominalis;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Paratyphus;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Tularaemie (Hasenpest);–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Keuchhusten;–;–;–;–;–;–;–;–;–;–;–;–;3;1;–;–;–;–;–
Bruzellose;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Leptospiren-Erkrankungen;–;–;–;–;–;–;–;–;–;–;–;–;1;–;–;–;–;–;–
Legionellen;2;2;5;1;1;8;3;3;5;5;2;3;10;4;1;2;7;4;2
Bakterielle Meningitis/Sepsis;3;4;–;11;7;10;21;19;21;19;16;11;4;3;17;10;11;23;6
Virale Infektionen;–;–;–;1;3;0;2;4;45;18;14;8;18;12;12;1360;1921;1047;172
Neuartiges Coronavirus (2019-nCOV) (1);–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1357;1913;1038;167
Encephalitiden;–;–;–;1;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Hepatitis infectiosa;–;–;–;–;3;–;2;4;45;18;14;8;18;12;12;3;8;9;–
Masern;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;5
Röteln;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Protozoenerkrankungen;–;–;–;–;–;1;–;–;–;–;1;–;1;–;–;–;–;–;–
Malaria;–;–;–;–;–;1;–;–;–;–;1;–;1;–;–;–;–;–;–
Amöbenruhr;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Prionen-Infektion;4;2;2;1;1;2;2;4;–;3;2;5;14;2;2;4;3;1;3
Creutzfeldt-Jakob-Erkrankung;4;2;2;1;1;2;2;4;–;3;2;5;14;2;2;4;3;1;3
Quelle: Stadt Wien Gesundheitsdienst (Epidemievorsorge und Impfwesen) der Stadt Wien.;;;;;;;;;;;;;;;;;;;
(1) Seit dem 1. Juli 2023 ist COVID-19 keine meldepflichtige Krankheit mehr.;;;;;;;;;;;;;;;;;;;
