Krebsinzidenz in Wien nach Altersgruppen und Geschlecht seit 1983;;;;;;;;;;;
Jahr;Insgesamt;Krebs-Neuerkrankungen (1);;;;;;;;;
;;Männer im Alter von …;;;;;Frauen im Alter von …;;;;
;;insgesamt;0-24;25-44;45-64;65+;insgesamt;0-24;25-44;45-64;65+
1983;7904;3498;44;179;940;2335;4406;31;267;1183;2925
1984;7825;3458;36;179;939;2304;4367;34;287;1159;2887
1985;7723;3344;41;175;977;2151;4379;22;285;1149;2923
1986;7459;3336;42;183;988;2123;4123;32;268;1005;2818
1987;7523;3289;35;172;934;2148;4234;38;282;1078;2836
1988;7724;3400;45;196;1004;2155;4324;37;296;1135;2856
1989;7606;3384;31;174;1042;2137;4222;27;273;1046;2876
1990;7518;3337;49;179;989;2120;4181;34;242;1048;2857
1991;7284;3281;40;171;987;2083;4003;32;260;1008;2703
1992;7027;3183;49;157;993;1984;3844;29;223;956;2636
1993;7140;3252;44;182;1002;2024;3888;38;226;963;2661
1994;7115;3280;37;178;1020;2045;3835;29;256;875;2675
1995;7196;3397;37;184;1075;2101;3799;30;237;962;2570
1996;7392;3470;40;167;1115;2148;3922;26;262;990;2644
1997;8234;3885;39;210;1312;2324;4349;42;314;1202;2791
1998;7688;3828;42;179;1276;2331;3860;35;284;1090;2451
1999;7181;3528;37;173;1270;2048;3653;29;245;1043;2336
2000;7446;3704;39;173;1413;2079;3742;36;267;1111;2328
2001;7354;3632;42;185;1381;2024;3722;39;236;1186;2261
2002;7227;3558;57;174;1447;1880;3669;35;277;1191;2166
2003;7650;3905;51;190;1530;2134;3745;31;262;1260;2192
2004;7716;3792;56;197;1539;2000;3924;30;337;1362;2195
2005;7747;3815;45;221;1434;2115;3932;47;297;1310;2278
2006;7692;3924;42;192;1438;2252;3768;41;340;1256;2131
2007;7622;3628;45;188;1318;2077;3994;47;330;1347;2270
2008;7296;3693;37;180;1248;2228;3603;33;260;1179;2131
2009;7261;3605;46;156;1204;2199;3656;39;295;1211;2111
2010;7241;3656;38;173;1228;2217;3585;41;285;1141;2118
2011;7285;3515;46;154;1194;2121;3770;38;299;1262;2171
2012;7655;3686;61;176;1129;2320;3969;47;318;1301;2303
2013;7135;3644;58;145;1173;2268;3491;31;286;1120;2054
2014;7659;3688;42;154;1173;2319;3971;53;300;1301;2317
2015;7834;4041;78;194;1247;2522;3793;53;284;1271;2185
2016;7434;3780;47;172;1186;2375;3654;43;250;1164;2197
2017;7322;3751;61;173;1172;2345;3571;52;270;1123;2126
2018;6679;3412;49;149;1047;2167;3267;44;237;959;2027
2019;7020;3717;59;133;1088;2437;3303;29;212;1039;2023
2020;7244;3688;44;158;1091;2395;3556;31;231;1060;2234
2021;7150;3595;53;151;1073;2318;3555;40;263;1129;2123
2022;7317;3592;46;179;1044;2323;3725;30;278;1228;2189
Quelle: Statistik Austria – Österreichisches Krebsregister.;;;;;;;;;;;
(1) Anzahl der Neuerkrankungen, die innerhalb eines Jahres gemeldet werden.;;;;;;;;;;;
