Todesursachen in Wien nach ICD-10-Klassifikation seit 2002;;;;;;;;;;;;;;;;;;;;;;
Todesursache nach ICD-10-Klassifikation;Berichtsjahr (1);;;;;;;;;;;;;;;;;;;;;
;2002;2003,0;2004,0;2005,0;2006;2007;2008;2009;2010;2011,0;2012;2013;2014,0;2015,0;2016,0;2017,0;2018,0;2019,0;2020,0;2021,0;2022,0;2023
Wien;16916;16980,0;15983,0;16027,0;15796;15825;15702;16332;16287;15918,0;16404;16332;16014,0;16526,0;16031,0;16424,0;16887,0;16150,0;17901,0;18086,0;18041,0;17249
Infektiöse und parasitäre Krankheiten;203;221,0;172,0;200,0;145;173;200;195;199;192,0;191;209;200,0;192,0;187,0;185,0;240,0;207,0;183,0;204,0;204,0;226
Bösartige, gutartige und andere Neubildungen;4207;4373,0;4316,0;4258,0;4236;4055;4358;4257;4342;4384,0;4388;4273;4414,0;4337,0;4198,0;4223,0;4287,0;4163,0;4392,0;4184,0;4277,0;4201
Krankheiten des Blutes und des Immunsystems;17;20,0;23,0;16,0;14;18;28;28;33;28,0;38;34;32,0;16,0;36,0;42,0;45,0;60,0;36,0;47,0;61,0;50
Endokrine, Ernährungs- und Stoffwechselkrankheiten;447;693,0;769,0;802,0;770;802;849;794;759;707,0;708;733;765,0;818,0;898,0;837,0;787,0;718,0;799,0;976,0;1073,0;1083
Psychische Krankheiten und Verhaltensstörungen;83;195,0;157,0;177,0;181;211;258;252;214;219,0;264;287;283,0;276,0;335,0;563,0;663,0;521,0;497,0;594,0;569,0;668
Krankheiten des Nervensystems, des Auges und des Ohres;425;453,0;268,0;292,0;332;377;384;371;370;382,0;458;416;388,0;347,0;412,0;533,0;585,0;543,0;507,0;537,0;571,0;589
Krankheiten des Kreislaufsystems;8605;7931,0;7327,0;7433,0;7269;7287;7016;7189;7246;6959,0;7219;7223;6889,0;7287,0;6673,0;6489,0;6342,0;5980,0;6197,0;5924,0;5897,0;5705
Krankheiten des Atmungssystems;787;945,0;842,0;790,0;824;866;754;825;791;775,0;729;751;728,0;785,0;816,0;1046,0;1237,0;1240,0;1132,0;930,0;1033,0;1131
Krankheiten des Verdauungssystems;867;890,0;876,0;795,0;776;727;660;769;746;691,0;699;713;612,0;637,0;606,0;615,0;636,0;658,0;687,0;669,0;709,0;692
Krankheiten der Haut und der Unterhaut;11;10,0;9,0;7,0;8;14;16;12;14;13,0;15;10;6,0;9,0;17,0;15,0;21,0;18,0;16,0;16,0;13,0;20
"Krankheiten des Muskel-Skelett-Systems 
und des Bindegewebes";36;34,0;27,0;67,0;54;45;48;37;44;37,0;32;31;32,0;37,0;41,0;58,0;73,0;45,0;45,0;58,0;43,0;71
Krankheiten des Urogenitalsystems;224;271,0;291,0;209,0;223;213;207;236;247;232,0;251;235;237,0;264,0;308,0;294,0;306,0;386,0;482,0;381,0;379,0;318
Schwangerschaft, Geburt und Wochenbett;–;1,0;1,0;2,0;–;–;–;–;–;2,0;–;–;3,0;2,0;2,0;1,0;1,0;1,0;1,0;1,0;1,0;–
Perinatale Affektionen;58;78,0;67,0;70,0;54;54;62;59;65;56,0;46;47;52,0;46,0;53,0;48,0;44,0;62,0;55,0;46,0;35,0;47
Angeborene Anomalien;44;36,0;39,0;43,0;51;45;47;57;60;50,0;51;58;63,0;59,0;55,0;52,0;52,0;44,0;58,0;51,0;45,0;59
Symptome und abnorme klinische Laborbefunde;82;38,0;40,0;63,0;70;109;112;488;484;506,0;553;572;573,0;652,0;686,0;675,0;725,0;708,0;840,0;1007,0;890,0;892
Verletzungen, Vergiftungen, Folgen äußerer Ursachen;820;791,0;759,0;803,0;789;829;703;763;673;685,0;762;740;737,0;762,0;708,0;748,0;843,0;796,0;1974,0;2461,0;2241,0;1497
Quelle: Statistik Austria – Todesursachenstatistik, Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;;;;;;;;;;;;;;
(1) Ab 2009: Inklusive Auslandssterbefälle.;;;;;;;;;;;;;;;;;;;;;;
