Arbeitsunfälle und Berufskrankheiten in Wien nach Geschlecht seit 2011;;;;;;;
Jahr;Insgesamt;Arbeits- und Wegunfälle sowie Berufskrankheiten;;;;;
;;Arbeitsunfälle;;Wegunfälle;;Berufskrankheiten;
;;Geschlecht;;Geschlecht;;Geschlecht;
;;Männer;Frauen;Männer;Frauen;Männer;Frauen
2011;22037;12631;5933;1492;1850;115;16
2012;21498;12232;5809;1509;1812;119;17
2013;21205;11576;5872;1574;2070;94;19
2014;20486;11247;5753;1556;1789;120;21
2015;19939;10792;5739;1467;1815;110;16
2016;20070;10766;5627;1592;1951;115;19
2017;20301;10917;5654;1609;1965;135;21
2018;20771;11299;5723;1701;1915;117;16
2019;18215;9726;5019;1564;1813;84;9
2020;12512;6927;3207;1053;1241;64;20
2021;16359;8426;3768;1447;1817;248;653
2022;17805;8851;4298;1495;1752;362;1047
2023;17552;9121;4628;1620;1796;118;269
Quelle: Allgemeine Unfallversicherungsanstalt.;;;;;;;
Anmerkung: Ohne selbstständig Erwerbstätige und ohne sonstige im Schadensfall geschützte Personen. Betriebsort ist Wien.;;;;;;;
