Beitragspflichtige Bruttomonatseinkommen am Arbeitsort Wien nach Wirtschaftstätigkeiten und Geschlecht 2016;;;;;;
Abschnitt 
(ÖNACE 2008);Bruttomonatseinkommen *;;;;;
;Männer;;;Frauen;;
;0,25;0,5;0,75;0,25;0,5;0,75
;... der ArbeitnehmerInnen verdienen weniger als ... EUR;;;;;
WirtschaftskIassen insgesamt;1888;2841;4396;1537;2284;3332
Land- und Forstwirtschaft; Fischerei;1065;1392;1651;1065;1426;1535
Bergbau und Gewinnung von Steinen und Erden;5014;.;.;3094;4696;.
Herstellung von Waren;2702;3774;5277;1846;2692;3942
Energieversorgung;3497;4717;.;2545;3463;4987
Wasserversorgung; Abwasser- und Abfallentsorgung;2069;2608;3622;1759;2555;3735
Bau;2118;2681;3364;1350;2254;3313
Handel; Instandhaltung und Reparatur von Kraftfahrzeugen;1865;2678;4295;1452;1987;2958
Verkehr und Lagerei;1742;2769;3513;1680;2529;3361
Beherbergung und Gastronomie;1226;1707;2142;1000;1534;1894
Information und Kommunikation;3111;4542;.;2026;3200;4534
Erbringung von Finanz- und Versicherungsdienstleistungen;3402;5256;.;2606;3853;5266
Grundstücks- und Wohnungswesen;1514;2765;4430;1213;2178;3309
Erbringung von freiberuflichen, wissenschaftlichen
und technischen Dienstleistungen;2183;3563;5355;1662;2625;3706
Erbringung von sonstigen wirtschaftlichen Dienstleistungen;1650;2148;2786;1247;1674;2304
Öffentliche Verwaltung, Verteidigung, Sozialversicherung;2149;3210;4811;2211;2878;3729
Erziehung und Unterricht;983;1984;3082;1405;1971;2634
Gesundheits- und Sozialwesen;1486;2300;3194;1517;2170;2889
Kunst, Unterhaltung und Erholung;1598;2477;3703;1330;1979;3025
Erbringung von sonstigen Dienstleistungen;1600;2707;4364;1299;1945;3093
Private Haushalte;688;1241;1863;838;1278;2051
Exterritoriale Organisationen und Körperschaften;2742;3415;4835;2331;3220;4433
Wirtschaftsklasse nicht bekannt;1800;2738;4142;1663;2482;3768
Quelle: Hauptverband der österreichischen Sozialversicherungsträger.;;;;;;
* In einigen Kategorien nicht verfügbar, da das Einkommen über der Höchstbeitragsgrundlage liegt.;;;;;;
