Hilfseinrichtungen in Wien seit 2006;;;;;;
Jahr;Flüchtlingshilfe;;;Selbsthilfegruppen;;Aids Hilfe Wien
;BezieherInnen *;Jahresaufwand;Erlöse;Gruppen;Jahresaufwand;Jahresaufwand
;;Mio. EUR;;;1.000 EUR;
2006;.;40,675216;40,196425;.;.;680,193
2007;6291;37,585397;27,575124;.;.;690,709
2008;6000;35,932083;30,945968;.;.;696
2009;5850;35,949;24,085;61;80,391;716
2010;5320;32,37;21,84;63;72,41273;758
2011;5210;33,35;23,6;64;84,7057;750
2012;5580;34,23;23,936;60;87,9;752,3
2013;9180;39,9;29,2;61;87,9;797
2014;10510;44,6;27,7;56;79,9;989
2015;25840;71,97;33,67;57;85,6;840
2016;36740;166,6;99,1;61;90;810
2017;33550;182,78;108,4;61;89,9;820
2018;26370;138,2;116,77;75;92,6;830
Quelle: Fonds Soziales Wien, Wiener Gesundheitsförderung GmbH;;;;;;
* Seit 2013 stellt das BMI individuell zuordenbare Daten zur Verfügung, sodass die Gesamtsumme der verschiedenen BezieherInnen (ohne Mehrfachzählungen) ermittelt werden kann. Die bisherige Berechnung des Mittelwerts aus den zwölf Monatsstichwerten der BezieherInnen ergibt monatlich 6.160 Flüchtlinge für 2013, monatlich 6.740 Flüchtlinge für 2014, monatlich 10.580 Flüchtlinge für 2015, monatlich 20.560 Flüchtlinge für 2016, monatlich 20.360 für 2017 und monatlich 17.570 Flüchtlinge für 2018.;;;;;;
