Pflegegeldbezug in Wien seit 2006;;;;;;;;;;;;
Jahr;PflegegeldbezieherInnen *;;;;;;;;Jahresaufwand;;;
;insgesamt;Stufe 1;Stufe 2;Stufe 3;Stufe 4;Stufe 5;Stufe 6;Stufe 7;Mio. EUR;;;
Bundespflegegeld;;;;;;;;;;;;
2006;65966;17413;22574;10422;9302;4286;1129;840;302;;;
2007;68736;17818;23509;11011;9753;4504;1285;856;316,8;;;
2008;70288;18198;24189;11216;9991;4445;1385;864;323,7;;;
2009;70159;17278;23923;11173;9909;5080;1823;973;351,1;;;
2010;71343;17793;24601;11300;9812;5021;1872;944;353,669344;;;
2011;69984;17916;22967;11218;9708;5187;2044;944;351,915648;;;
2012;85025;22839;26046;13831;11513;6415;2916;1465;432,4;;;
2013;85402;23506;25361;13857;11576;6637;2992;1473;435,7;;;
2014;85906;23879;24916;13877;11741;7014;3020;1459;440,5;;;
2015;84120;24704;22782;13814;11513;6888;3003;1416;430;;;
2016;84858;25792;21210;14161;11709;7325;3187;1474;447,4;;;
2017;84873;26413;20174;14450;11543;7417;3353;1523;449,6;;;
Landespflegegeld **;;;;;;;;;;;;
2006;9798;2533;2906;1477;1209;526;551;292;48,7;;;
2007;10106;2615;3045;1520;1243;535;560;308;49,8;;;
2008;10669;2939;3184;1599;1262;548;585;340;52,4;;;
2009;11624;3178;3482;1743;1309;668;659;391;58,7;;;
2010;12400;3597;3726;1828;1339;664;656;406;58,6;;;
2011;11989;3541;3363;1825;1436;727;673;424;62,1;;;
2012;–;–;–;–;–;–;–;–;–;;;
2013;–;–;–;–;–;–;–;–;–;;;
2014;–;–;–;–;–;–;–;–;–;;;
2015;–;–;–;–;–;–;–;–;–;;;
2016;–;–;–;–;–;–;–;–;–;;;
2017;–;–;–;–;–;–;–;–;–;;;
2018;–;–;–;–;–;–;–;–;–;;;
Quelle: Hauptverband der österreichischen Sozialversicherungsträger, MA 2, MA 40 und Wiener Stadtwerke.;;;;;;;;;;;;
* Exklusive: 2588 Personen, die im Jahr 2011 insgesamt 13,6 Mio. EUR Pflegegeld im Sinne des § 31 der Wiener Pensionsordnung erhielten.
** Seit 1.1.2012 ist das Pflegegeld ausschließlich Bundeskompetenz.;;;;;;;;;;;;
