Beitragspflichtige Bruttomonatseinkommen am Arbeitsort nach Wirtschaftstätigkeiten 2016;;;;;;
Abschnitt 
(ÖNACE 2008);Bruttomonatseinkommen *;;;;;
;Wien;;;Österreich;;
;0,25;0,5;0,75;0,25;0,5;0,75
;... der ArbeitnehmerInnen verdienen weniger als ... EUR;;;;;
WirtschaftskIassen insgesamt;1706;2570;3830;1714;2520;3511
Land- und Forstwirtschaft; Fischerei;1065;1440;1558;1074;1480;1206
Bergbau und Gewinnung von Steinen und Erden;4534;5635;.;2686;3364;4416
Herstellung von Waren;2351;3437;4885;2365;3123;4171
Energieversorgung;3129;4384;5639;3129;4511;.
Wasserversorgung; Abwasser- und Abfallentsorgung;2027;2598;3654;2009;2539;3290
Bau;2039;2654;3361;2281;2837;3433
Handel; Instandhaltung und Reparatur von Kraftfahrzeugen;1598;2287;3510;1534;2174;3086
Verkehr und Lagerei;1723;2719;3481;1824;2501;3177
Beherbergung und Gastronomie;1087;1658;2022;1230;1739;2207
Information und Kommunikation;2645;4000;5476;2370;3667;5133
Erbringung von Finanz- und Versicherungsdienstleistungen;2878;4481;.;2451;3766;5369
Grundstücks- und Wohnungswesen;1314;2385;3673;1371;2316;3498
Erbringung von freiberuflichen, wissenschaftlichen und
technischen Dienstleistungen;1832;2950;4433;1715;2758;4129
Erbringung von sonstigen wirtschaftlichen Dienstleistungen;1391;1930;2619;1496;2130;2715
Öffentliche Verwaltung, Verteidigung, Sozialversicherung;2196;2972;4144;1958;2784;3758
Erziehung und Unterricht;1302;1973;2751;1259;2046;3047
Gesundheits- und Sozialwesen;1507;2199;2959;1420;1638;2908
Kunst, Unterhaltung und Erholung;1437;2250;3379;1366;2100;3056
Erbringung von sonstigen Dienstleistungen;1381;2192;3534;1289;1885;2938
Private Haushalte;813;1274;2045;830;1220;1904
Exterritoriale Organisationen und Körperschaften;2515;3296;4644;2515;3278;4641
Wirtschaftsklasse nicht bekannt;1750;2628;3928;1599;2754;4536
Quelle: Hauptverband der österreichischen Sozialversicherungsträger.;;;;;;
* In einigen Kategorien nicht verfügbar, da das Einkommen über der Höchstbeitragsgrundlage liegt.;;;;;;
