Leistungen des Jugendamtes in Wien seit 2011;;;;;;;;
Leistungsart;Berichtsjahr;;;;;;;
;2011;2012;2013;2014;2015;2016;2017;2018
Sozialer Dienst;;;;;;;;
Informationen im sozialen Dienst;25308;21679;20723;20950;20321;20409;21742;22408
Beratungen im sozialen Dienst;47087;44462;50290;50105;48052;48117;48032;44646
Ausgegebene Säuglings- und Kleinkinderwäschepakete;15226;14758;14937;13025;10910;11935;12154;11658
BezieherInnen des Wiener Familienzuschusses;861;520;276;218;157;134;100;53
Anträge auf Befreiung vom Essensbeitrag;11833;11102;10231;10796;11278;14241;14131;11973
Gefährdungsabklärung;;;;;;;;
Begonnene Abklärungsverfahren;10518;10519;10883;10514;10469;10649;11216;10497
Unterstützung der Erziehung;;;;;;;;
Begonnene Unterstützungen der Erziehung;3000;3069;3096;2910;2790;2900;3063;3109
Rechtsvertretung;;;;;;;;
Begonnene Fälle in der Rechtsvertretung;1082;966;1028;1055;3435;1582;1135;945
Begonnene Fälle im Asyl- und Fremdenrecht;89;88;128;195;280;969;151;26
Begonnene Fälle in der Unterhaltssicherung;6606;6648;7328;7511;7078;6741;6490;8674
Begonnene Fälle in der Vaterschaftsfeststellung;459;394;364;368;376;319;299;328
Unterbringung in eigenen Einrichtungen *;;;;;;;;
Krisenzentren;116;112;109;109;117;137;134;134
Sozialpädagogische Einrichtungen;743;728;708;688;695;687;685;688
Unterbringung in "zugekauften" Einrichtungen *;;;;;;;;
Vertragseinrichtungen;471;505;559;534;592;662;672;668
Einzelverträge;369;405;469;404;378;436;479;489
Erstattungen;24;31;31;25;30;26;23;22
Unterbringung in Familien *;;;;;;;;
Bei Pflegeeltern;1616;1672;1754;1901;2008;1990;2032;2083
darunter in Verwandtenpflege;255;263;273;342;405;438;475;478
Quelle: MA 11.;;;;;;;;
* Minderjährige im Tagesdurchschnitt.;;;;;;;;
