Einkommensteuer nach Gemeindebezirken 2015 – insgesamt;;;;
Gemeindebezirk;Veranlagungsfälle;Einkünfte;Zu versteuerndes
Einkommen;Festgesetzte
Einkommensteuer
;;Mio. EUR;;
Wien;122266;6298,9;6153,264;2170,251
1. Innere Stadt;3859;301,5;295,593;121,783
2. Leopoldstadt;6549;285,5;278,215;91,801
3. Landstraße;7813;432,2;423,039;152,803
4. Wieden;4120;249,7;242,754;90,641
5. Margareten;4019;163,8;159,981;50,066
6. Mariahilf;3546;173;169,313;57,347
7. Neubau;4112;211,4;207,061;74,339
8. Josefstadt;3397;191;186,908;67,781
9. Alsergrund;4807;269;263,329;95,68
10. Favoriten;6343;239,1;233,427;69,55
11. Simmering;2936;103,8;101,196;28,42
12. Meidling;4467;184,7;180,001;55,204
13. Hietzing;6644;458,7;447,11;175,057
14. Penzing;6653;324,5;316,842;107,469
15. Rudolfsheim-Fünfhaus;3732;130,3;127,126;36,033
16. Ottakring;5647;241,5;235,723;75,09
17. Hernals;4347;212,5;207,665;70,691
18. Währing;6221;387,3;378,61;143,465
19. Döbling;8274;600,9;587,59;241,513
20. Brigittenau;3120;118,7;116,163;34,735
21. Floridsdorf;6359;276,2;269,823;85,601
22. Donaustadt;8206;364,8;355,81;114,807
23. Liesing;7095;378,7;369,985;130,375
Quelle: Statistik Austria – Einkommensteuerstatistik.;;;;
Anmerkung: Nur Steuerfälle erfasst. Rundungsdifferenzen nicht ausgeglichen.;;;;
