Krankenversicherung – Bezugsberechtigte Mitglieder in Wien zum Stichtag 31.12. seit 2011;;;;;;;;;;;;;;;;;;;;;;;;
Versicherungsanstalt
Träger *;2011;;;2012;;;2013;;;2014;;;2015;;;2016;;;2017;;;2018;;
;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;insgesamt;Männer;Frauen;insgesamt;Männer;Frauen;insgesamt;Männer;Frauen
Bezugsberechtigte Mitglieder **;1725630;807200;918430;1740656;815744;924912;1765837;830124;935713;1794940;846423;948517;1829859;866407;963452;1857747;882618;975129;1874657;892573;982084;1882710;895814;986896
Wiener GKK;1277925;580968;696957;1292424;589677;702747;1313633;602170;711463;1342362;618586;723776;1375374;637632;737742;1405179;654444;750735;1418788;662476;756312;1423136;663904;759232
KFA;118688;51898;66790;119099;51970;67129;119921;52128;67793;120993;52463;68530;122127;52748;69379;117911;50651;67260;164580;91615;72965;166461;92811;73650
VA Öffentlich Bediensteter;131156;61975;69181;129878;61261;68617;129670;61224;68446;129223;60848;68375;128149;60298;67851;127922;60326;67596;128536;60684;67852;128577;60648;67929
VAEB;26165;15244;10921;25304;14775;10529;25185;14730;10455;25028;14650;10378;24961;14694;10267;24999;14736;10263;118793;51054;67739;120254;51450;68804
SVA der gewerblichen Wirtschaft;151853;84885;66968;154173;85840;68333;157620;87572;70048;157535;87582;69953;159645;88741;70904;162252;90283;71969;25185;14855;10330;25766;15219;10547
SVA der Bauern;3846;1884;1962;3905;1924;1981;3962;1982;1980;4029;2012;2017;4017;2042;1975;4090;2067;2023;14400;9670;4730;14188;9592;4596
BKK Verkehrsbetriebe;14951;9888;5063;14857;9857;5000;14868;9887;4981;14840;9871;4969;14694;9860;4834;14537;9734;4803;4071;2074;1997;4030;2044;1986
BKK Austria Tabak;748;323;425;698;298;400;629;262;367;597;248;349;570;233;337;541;220;321;–;–;–;–;–;–
BKK Mondi;149;65;84;156;67;89;165;79;86;152;73;79;154;77;77;153;77;76;136;64;72;124;57;67
BKK VABS;31;15;16;52;24;28;58;29;29;57;27;30;46;20;26;38;17;21;83;40;43;96;50;46
BKK Zeltweg;71;34;37;68;32;36;78;38;40;78;40;38;78;41;37;82;42;40;43;21;22;41;21;20
BKK Kapfenberg;47;21;26;42;19;23;48;23;25;46;23;23;44;21;23;43;21;22;42;20;22;37;18;19
Quelle: Hauptverband der österreichischen Sozialversicherungsträger und KFA.;;;;;;;;;;;;;;;;;;;;;;;;
* Verwendete Abkürzungen: GKK = Gebietskrankenkasse; KFA = Krankenfürsorgeanstalt der Bediensteten der Stadt Wien; VA = Versicherungsanstalt; VAEB = Versicherungsanstalt für
 Eisenbahnen und Bergbau; SVA = Sozialversicherungsanstalt; BKK = Betriebskrankenkasse.
** Bezugsberechtigte sind Beitragsleistende plus Angehörige. Die Erfassung erfolgt personenbezogen, das heißt, dass eine Person bei ein und demselben Versicherungsträger nur einmal gezählt wird. Hat diese Person auch ein Versicherungsverhältnis zu einem anderen Versicherungsträger, so wird sie dort auch einmal als Person gezählt.;;;;;;;;;;;;;;;;;;;;;;;;
