Ausgewählte nationale Preisindizes seit 1991 – Jahresübersicht;;;;;;;;;;
Jahr;Lebenshaltungskostenindex für eine
vierköpfige ArbeiterInnenfamilie *;;;VPI 2000;VPI 2005;VPI 2010;PIPH 2000;PIPH 2005;PIPH 2010;VPI 2015
;April 1938 = 100;April 1945 = 100;April 1958 = 100;Ø 2000 = 100;Ø 2005 = 100;Ø 2010 = 100;Ø 2000 = 100;Ø 2005 = 100;Ø 2010 = 100;Ø 2015 = 100
1991;2934,8;3455,3;394,5;–;–;–;–;–;–;–
1992;3052,8;3594,3;410,3;–;–;–;–;–;–;–
1993;3163,5;3724,6;425,2;–;–;–;–;–;–;–
1994;3257,1;3834,8;437,8;–;–;–;–;–;–;–
1995;3330,2;3920,8;447,6;–;–;–;–;–;–;–
1996;3392;3993,6;455,9;–;–;–;–;–;–;–
1997;3436,4;4045,8;461,9;–;–;–;–;–;–;–
1998;3468;4083,1;466,1;–;–;–;–;–;–;–
1999;3487,6;4106,1;468,8;–;–;–;–;–;–;–
2000;3569,5;4202,6;479,8;–;–;–;–;–;–;–
2001;3664,4;4314,3;492,6;102,7;–;–;102,8;–;–;–
2002;3730,4;4392,1;501,4;104,5;–;–;104,7;–;–;–
2003;3781;4451,6;508,2;105,9;–;–;106,5;–;–;–
2004;3858,9;4543,4;518,7;108,1;–;–;108,9;–;–;–
2005;3947,9;4648,1;530,7;110,6;–;–;111,6;–;–;–
2006;4005,2;4715,5;538,4;112,2;101,45;–;113,6;101,8;–;–
2007;4092;4817,8;550,1;114,6;103,65;–;116,5;104,425;–;–
2008;4223,6;4972,7;567,8;118,3;106,983333333333;–;120,5;107,991666666667;–;–
2009;4245;4997,9;570,6;118,9;107,5;–;121,7;109;–;–
2010;4322;5088,5;581;121,1;109,5;–;124,1;111,2;–;–
2011;4462,8;5254,3;599,9;125;113,1;103,3;128,4;115;103,4;–
2012;4573,8;5384,9;614,9;128,2;115,9;105,8;131,6;118;106,1;–
2013;4665,2;5492,6;627,2;130,7;118,2;107,9;134,6;120,6;108,4;–
2014;4740,2;5580,8;637,2;132,8;–;109,7;136,9;–;110,3;–
2015;4783;5631,3;643;134;–;110,7;–;–;–;–
2016;4826;5682;648,8;135,2;–;111,7;–;–;–;100,9
Quelle: Statistik Austria – Verbraucherpreisindex.;;;;;;;;;;
VPI = Verbraucherpreisindex (Bundes-Index); PIPH = Pensionistenpreisindex.
* 1958: VPI vierköpfiger ArbeitnehmerInnenhaushalte.;;;;;;;;;;
