Einkommensteuer nach Gemeindebezirken 2015 – Männer;;;;
Gemeindebezirk;Veranlagungsfälle;Einkünfte;Zu versteuerndes
Einkommen;Festgesetzte
Einkommensteuer
;;Mio. EUR;;
Wien;73951;4459,6;4368,4;1657,4
1. Innere Stadt;2303;222,1;218,3;94,9
2. Leopoldstadt;4041;210,8;206,2;76,7
3. Landstraße;4599;299,9;294,4;113,9
4. Wieden;2420;168,7;165,6;66
5. Margareten;2415;111;108,8;40,4
6. Mariahilf;2147;119;116,9;42,5
7. Neubau;2489;143,9;140,9;51,3
8. Josefstadt;1918;129,3;127;49,1
9. Alsergrund;2813;187,2;184;73
10. Favoriten;4115;170,5;166,7;52,3
11. Simmering;1888;74,7;72,8;22,1
12. Meidling;2729;118,9;116,1;37,3
13. Hietzing;3887;334;326,5;134,4
14. Penzing;4019;232,2;227,3;82,4
15. Rudolfsheim-Fünfhaus;2358;89;87,1;26,4
16. Ottakring;3445;171,8;168,2;58
17. Hernals;2594;156,2;153,1;57
18. Währing;3427;262,9;257,5;104,3
19. Döbling;4777;428;420;184,7
20. Brigittenau;1925;81,4;79,7;25,5
21. Floridsdorf;3963;199,1;194,7;68
22. Donaustadt;5341;276,2;269,9;97,1
23. Liesing;4338;272,7;266,7;100,1
Quelle: Statistik Austria – Einkommensteuerstatistik.;;;;
Anmerkung: Nur Steuerfälle erfasst.;;;;
