Soziale Dienste in Wien – Menschen mit Behinderung seit 2006 (BezieherInnen);;;;;;;;;;;;;
Ausgewählte Leistung;Berichtsjahr;;;;;;;;;;;;
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Maßnahmen zur Tagesstruktur sowie Arbeitsangebote;;;;;;;;;;;;;
Tagesstruktur inkl. Essen und Taschengeld;3950;4110;4200;4290;4390;4410;4430;4470;4600;4730;4840;4870;4940
Berufsintegration (ohne Projekte), Lehrlingsausbildung und Lohnkostenzuschüsse;410;390;530;570;650;710;790;800;880;930;910;830;890
Integration – Bildung, Beratung, Assistenz;1250;1430;3210;4700;4830;5030;5210;6010;6570;6770;6530;6380;6880
Fahrt zur Einrichtung *;;;;;;;;;;;;;
Regelfahrtendienst und Fahrtkostenersatz sowie Mobilitätskonzept **;–;–;3730;3870;4030;3990;3990;4040;4130;4060;4290;4870;4530
davon Fahrtbegleitung;–;–;53;44;58;63;68;71;61;73;71;24;2
Spezielle Mobilitätshilfen und Beförderungsdienste;;;;;;;;;;;;;
Freizeitfahrtendienst;9770;8120;7580;6650;5780;5180;4480;3970;3620;3350;3100;2811;2690
Ermäßigte Jahreskarten für Personen mit Sehbehinderung oder Gehörlosigkeit;–;–;3270;3150;3130;3140;3050;2690;3100;3200;3170;3028;3130
Wohnen für Menschen mit Behinderung;;;;;;;;;;;;;
Vollbetreutes Wohnen;1790;1810;1840;1860;1890;1890;1890;1950;1940;1960;1990;1970;1960
Teilbetreutes Wohnen;980;1110;1220;1270;1360;1440;1570;1650;1750;1940;2150;2260;2360
Quelle: Fonds Soziales Wien.;;;;;;;;;;;;;
* Diese Leistung dienst ausschließlich den KundInnen der Tagesstruktur. Fahrten zu Kindergärten sowie Schulen sind nicht enthalten.
** Die Anzahl der BezieherInnen bis 2014 ist der Monatsdurchschnitt des jeweiligen Jahres, ab 2015 wird die Summe der unterschiedlichen KundInnen für das ganze Jahr angegeben.;;;;;;;;;;;;;
