Nationaler Verbraucherpreisindex 2005 nach COICOP-Gruppen seit 2007;;;;;;;;;;;
COICOP-Gruppe;Berichtsjahr;;;;;;;;;;
;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
;Ø 2005 = 100;;;;;;;;;;
Insgesamt;103,7;107;107,5;109,5;103,3;105,8;107,9;109,7;110,7;111,7;114
Nahrungsmittel und alkoholfreie Getränke;106,1;112,8;113;113,6;104,2;107,6;111,3;113,5;114,4;115,2;118
Alkoholische Getränke und Tabak;102,5;107,6;108,9;111,1;104,1;106,7;110,4;114,6;118,2;120;123,8
Bekleidung und Schuhe;101,8;103,4;105;106,2;103;104,3;105,1;104,3;104,5;105,3;106,8
Wohnung, Wasser, Energie;109,1;112,1;114,1;117,1;103,2;106,6;109,1;110,9;112,2;113,1;115,1
Hausrat und laufende Instandhaltung des Hauses;101,9;104,5;106,9;108,2;101,6;104;105,9;106,9;108,3;109,8;110,5
Gesundheitspflege;102,6;104,6;106,8;108,5;102;103,5;106,7;109,1;110,8;113,3;114,8
Verkehr;103,1;108,6;103,9;107,4;105,6;108,3;108;108,2;104,9;103;106,1
Nachrichtenübermittlung;90,9;87;86,1;87,7;100,9;100,8;102,1;108,2;109,1;107,3;105,8
Freizeit und Kultur;97,8;98,7;99,3;100,1;102;103;104,9;106,4;108,3;109,7;112,3
Erziehung und Unterricht;109,5;110,8;98;93,4;104;108,6;113,2;116,3;119,3;120,7;123
Restaurants und Hotels;104,9;108,7;111,2;112,4;103,5;106,3;109,7;112,9;116,2;120;123,5
Verschiedene Waren und Dienstleistungen;104;107,1;110,7;113,8;103,2;106,1;107,9;109,7;111,9;113,6;115,3
Miniwarenkorb (14,6% des VPI);105,4;113,7;109,9;113,6;121,2*;110,7;112,1;113,2;111,7;111;114,9
Mikrowarenkorb (4,2% des VPI);106,7;113,2;113;113,7;118,1*;107,1;110,7;113,8;115;116,7;121,4
Quelle: Statistik Austria – Verbraucherpreisindex.;;;;;;;;;;;
* Ø 2005 = 100. ab 2011 Ø 2010 = 100;;;;;;;;;;;
