Soziale Dienste in Wien – Erlöse * seit 2006;;;;;;;;;;;;;
Ausgewählte Leistung;Berichtsjahr;;;;;;;;;;;;
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
;1.000 EUR;;;;;;;;;;;;
Jahreserlöse;42376;42636;46991;53336,7;54776;58451;59903;61043;61935;62219;64367,06408;66219;63603
Heimhilfe;28900;30500;32800;34769;36645;39262;39839;39708;39543,772;39336;39543,857;38661;38658
Hauskrankenpflege;11570;9920;11730;13286;13498;14730;15562;16534;17126,332;17798;18312,937;18338;18286
Medizinische Hauskrankenpflege **;–;–;–;–;–;–;–;–;–;–;–;–;–
24-Stunden-Betreuung zu Hause **;–;–;–;–;–;–;–;–;–;–;–;–;–
Besuchsdienst;1031;1318;1522;1730;1985;2234;2295;2461;2647,016;2810;2987,859;2691;2548
Essen auf Rädern;569;601;603;620;580;434;289;199;146,496;103;73,796;54;40
Reinigungsdienst ***;306;297;307;303;315;305;103;–;–;–;–;–;–
Wäscheservice;–;–;28,7;31,7;29;30;27;23;18,562;15;13,065;11;9
Tageszentren;.;.;.;1597;1724;1878;1956;2079;2200,332;2185;2282,078;2320;2312
Quelle: Fonds Soziales Wien.;;;;;;;;;;;;;
* Als Erlöse sind die Kostenbeiträge der KundInnen angeführt (Jahressumme für Ambulante Pflege gemäß Rechnungsabschluss). Der angegebene Gesamtbetrag weicht ab von der Summe der Einzelposten, weil darin die Erlöse aus Verlassenschaften enthalten sind, welche nicht einzelnen Leistungen zuordenbar sind. Ab 2016 wurde das Rechnungslegungsänderungsgesetz schlagend und es sind die "Erlöse gesamt" angegeben.
** Für „Medizinische Hauskrankenpflege" und 24-Stunden-Betreuung" fallen ausschließlich subsidiäre Finanzierungen durch Dritte an, nicht aber durch KundInnenbeiträge.
*** Der Reinigungsdienst wurde mit 1. Juli 2012 eingestellt.;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
