Einkommensteuer nach Gemeindebezirken 2015 – Frauen;;;;
Gemeindebezirk;Veranlagungsfälle;Einkünfte;Zu versteuerndes
Einkommen;Festgesetzte
Einkommensteuer
;;Mio. EUR;;
Wien;50680;2105,2;2047,6;651,5
1. Innere Stadt;1507;90;87,8;33,1
2. Leopoldstadt;2746;105,4;102,4;30,7
3. Landstraße;3320;145,5;141,8;47,2
4. Wieden;1711;78,8;76,6;26,3
5. Margareten;1662;60;58,6;17,1
6. Mariahilf;1477;61,3;59,6;18,9
7. Neubau;1763;75,6;73,9;22,9
8. Josefstadt;1517;70,3;68,5;22,8
9. Alsergrund;2093;96,4;94,1;31,5
10. Favoriten;2358;79,3;76,9;21,1
11. Simmering;1117;35;34;8,8
12. Meidling;1846;65,7;63,6;18,1
13. Hietzing;2870;143,9;139,6;49,4
14. Penzing;2772;109,9;106,8;32,5
15. Rudolfsheim-Fünfhaus;1510;48,6;47,4;12,8
16. Ottakring;2361;83,9;81,7;23,4
17. Hernals;1788;70,1;68;20,6
18. Währing;2830;135;131,6;44,4
19. Döbling;3628;185,9;180,3;63,6
20. Brigittenau;1261;41,9;40,9;11,1
21. Floridsdorf;2483;90,4;87,8;25,2
22. Donaustadt;3234;120,2;116,7;36,9
23. Liesing;2826;112,2;109;33,2
Quelle: Statistik Austria – Einkommensteuerstatistik.;;;;
Anmerkung: Nur Steuerfälle erfasst.;;;;
